mass,teff_2myr,teff_1myr,teff_3myr,logL_2myr,logL_1myr,logL_3myr
3.800000000000001,20673.343267637843,20709.59595359871,20673.66848052962,2.4756483073550104,2.4672502084580756,2.4774409835667734
4.000000000000002,21259.350884504485,21276.507684761807,21260.179654425145,2.5509928685672487,2.5461570418622226,2.5529051078276335
4.200000000000001,21820.285303332563,21831.399720575166,21821.302365707557,2.6222293078563346,2.619013807255798,2.624336031369989
4.400000000000002,22353.76434716245,22359.527182371774,22354.244668529656,2.689496112528817,2.6867238433919076,2.6918054774201075
4.600000000000001,22867.569095421502,22870.277570366863,22867.569095421502,2.753426735720529,2.7507227570696826,2.755977588828355
4.8000000000000025,23364.688750261783,23366.00774399923,23364.412315992853,2.8144777678117503,2.8116716106750075,2.817264818715309
5.000000000000002,23846.244909404868,23847.385439783495,23845.695835645834,2.8728317163792196,2.8698591535387985,2.8758571584331563
5.200000000000003,24313.64100625051,24314.200854969386,24313.08117042253,2.9286712732938676,2.9254742475943627,2.931959155714676
5.400000000000002,24766.235598289863,24767.376151849847,24765.0950972531,2.982170976554528,2.9787319236244025,2.9857105958409
5.600000000000003,25200.942178650057,25202.971011535705,25198.808146371666,3.0333023250245335,3.029616484656272,3.0370760555994307
5.8000000000000025,25623.448451760414,25625.676868218754,25621.226411466956,3.0824419969225705,3.078489959420807,3.0865160001230567
6.0000000000000036,26035.744441757328,26038.057602849036,26033.09525673915,3.129856056471716,3.125597742931096,3.134213475905417
6.200000000000003,26438.74442920302,26441.484090128433,26435.938307249457,3.1755621279625528,3.1710279169138165,3.180214191323851
6.400000000000004,26832.768564388432,26835.51906322756,26829.67370713529,3.219710577058609,3.214870426557024,3.2246626320720653
7.0,27961.066836928014,27965.725237065697,27955.670207236646,3.3435783664101746,3.3378139520829295,3.3494264074973277
8.0,29678.570025429497,29684.51789766323,29671.170126975972,3.525771966346222,3.518338181498176,3.533332840504674
9.0,31243.47184071184,31253.30376381683,31231.194357758304,3.684554933693603,3.6753746859472383,3.6938978367103283
10.0,32671.57294257383,32682.717308866162,32655.162706363342,3.8246469421369884,3.813588974649772,3.8359270319584136
11.0,33995.61322656481,34010.11962392148,33973.70658551817,3.9500606551943074,3.9370488363285054,3.9635379938667694
12.0,35217.42333149174,35238.190911809594,35184.40449836834,4.063064708661145,4.048127710679818,4.0790726227876
14.0,37426.160767109526,37456.742034321025,37369.898707015425,4.260292323573147,4.241214195697583,4.281462776400914
16.0,39368.034461038944,39418.869779879904,39279.50425342909,4.4283675073117035,4.404662407629735,4.4541140471597345
18.0,41098.447639966296,41171.25934191939,40966.03451692425,4.573615383102582,4.5454588540267595,4.603740211265201
20.0,42633.51651331236,42744.418796885046,42438.87200629546,4.700747521338964,4.668418525410931,4.735022481242468
