[HC2000],sepHC_Kim,ra_1,dec_1,ID_Kim,ra_2,dec_2,mualpha,mualpha_err,mudelta,mudelta_err,Nepochs,dT,mag139,flag,RAJ2000_1,DECJ2000,RAJ2000_2,DEJ2000,l_Kmag,Kmag,l_Hmag,Hmag,e_Kmag,e_Hmag,OptID,AltID,sepHC_daRio,ra,dec,ID_daRio,RAh,RAm,RAs,DE-,DEd,DEm,DEs,logT,Temp(daRio),e_logT,logL,e_logL,AV,e_AV,f_BMass,BMass,e_BMass,l_logBA,logBA,e_logBA,DMass,e_DMass,logDA,e_logDA,Temp_daRio,Temp_us,eTemp_us,eTemp_us_STD,RV_us,RVe_us,RVe_us_STD,vsini_us,vsinie_us,vsinie_us_STD,sepHC_APOGEE,veiling_O32,veiling_O33,2MASS,ra_apogee,dec_apogee,RV_apogee,RVe_apogee,Temp_apogee,eTemp_apogee,raT,decT,RV_tobin,RVe_tobin,ID

413,0.0519482385,83.81452743,-5.38016396,35,83.81452743,-5.38016396,-0.43,0.04,-0.27,0.74,4,14.5,10.94,,83.81452928,-5.380162801,05 35 15.49,-05 22 48.6,,9.831,,10.204,0.006,0.003,476,MS-31,0.2986783444,83.81445833,-5.380166667,139,5,35,15.47,-,5,22,48.6,3.551,,0.01,-0.033,0.052,1.445,0.274,~,0.66,,<,6,,0.244,0.021,5.014,0.053,3556.313186,3642.66,27.47,44.45,25.51,0.40,0.44,28.79,0.55,0.44,-9999,0.057,0.049,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

414,0.128246072,83.82071441,-5.38014257,579,83.82071441,-5.38014257,-1.98,0.32,1.35,0.22,2,7.4,13.11,,83.82072297,-5.380148383,05 35 16.98,-05 22 48.5,,11.939,,12.163,0.011,0.008,532,MS-80,0.597356716,83.82058333,-5.380138889,143,5,35,16.94,-,5,22,48.5,3.624,,0.01,-1.373,0.053,1.428,0.242,,,,,,,,,,,4207.266284,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

415,0.09455052391,83.79600863,-5.37961407,252,83.79600863,-5.37961407,2.19,0.14,1.7,0.18,6,20.1,13.22,,83.79599916,-5.37962139,05 35 11.04,-05 22 46.7,,11.14,,12.334,0.006,0.009,,,-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

416,0.09469260453,83.79543932,-5.37954202,10,83.79543932,-5.37954202,-0.04,0.27,1,0.4,5,19.4,13.3,,83.79543949,-5.379546326,05 35 10.90,-05 22 46.4,,10.668,,11.897,0.006,0.005,355,,0.1,83.79541667,-5.379527778,110,5,35,10.9,-,5,22,46.3,3.539,,0.01,-1.18,0.009,0,0.304,,0.404,0.072,,7.2,0.186,0.311,0.054,6.955,0.167,3459.393778,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

417,-9999,-9999,-9999,-9999,,,,,,,,,,,,,05 35 10.49,-05 22 45.8,,9.778,,9.925,0.005,0.006,345,,0.426968675,83.79375,-5.379277778,150,5,35,10.5,-,5,22,45.4,3.577,,0.01,0.079,0.057,0.799,0.281,,0.94,0.119,,6.045,0.043,0.304,0.024,5.13,0.093,3775.721909,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

418,0.154272612,83.82537633,-5.37975199,494,83.82537633,-5.37975199,-0.58,0.02,0.21,0.13,3,10.5,15.88,,83.82537884,-5.379752894,05 35 18.08,-05 22 47.1,>,12.155,>,12.027,0.013,0.009,OW-181-247,,-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

419,-9999,-9999,-9999,-9999,,,,,,,,,,,,,05 35 15.55,-05 22 46.4,,12.94,,17.284,0.042,0.635,,,-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

420,0.02568280112,83.81599542,-5.37941118,154,83.81599542,-5.37941118,-0.38,0.31,-1.82,0.25,3,14,11.54,,83.81599706,-5.379403344,05 35 15.84,-05 22 45.9,,10.678,,10.804,0.01,0.004,492,MS-44,0.1493393563,83.81595833,-5.379416667,145,5,35,15.83,-,5,22,45.9,3.533,,0.01,-0.469,0.052,0.368,0.304,,0.429,0.071,,6.185,0.079,0.236,0.036,5.912,0.043,3411.929116,3510.08,10.63,35.43,25.91,0.23,0.29,24.16,0.29,0.67,-9999,0.005,0.004,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

421,0.1065813202,83.79410989,-5.37909779,6,83.79410989,-5.37909779,0.14,0.46,-1.53,0.06,3,16.3,12.11,,83.79410928,-5.379091202,05 35 10.58,-05 22 44.8,,10.443,,11.074,0.007,0.01,350,,-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

422,-9999,-9999,-9999,-9999,,,,,,,,,,,,,05 35 17.38,-05 22 45.8,,12.483,,13.959,0.011,0.023,,MS-89,-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

423,,,,,,,,,,,,,,,83.82660554,-5.407433625,05 35 18.36,-05 24 26.9,>,11.219,>,11.759,0.003,0.002,9222,,0.1493324524,83.82645833,-5.407472222,187,5,35,18.35,-,5,24,26.9,3.5,,0.006,-0.639,0.059,1.309,0.305,~,0.174,,<,6,,0.157,0.009,5.531,0.216,3162.27766,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

424,0.04747697078,83.83600533,-5.37932126,25,83.83600533,-5.37932126,2.09,0.19,-0.68,0.03,4,16.3,13.11,,83.83599629,-5.379318332,05 35 20.64,-05 22 45.6,,11.163,,12.017,0.005,0.003,657,,0.2986787535,83.83591667,-5.379333333,195,5,35,20.62,-,5,22,45.6,3.53,,0.003,-0.709,0.037,3.385,0.15,,0.355,0.019,,6.4,0.055,0.237,0.01,6.132,0.046,3388.441561,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

425,-9999,-9999,-9999,-9999,,,,,,,,,,,,,05 35 17.95,-05 22 45.5,,,,,0.006,0.006,567,MS-104,0.4590427785,83.82466667,-5.379277778,159,5,35,17.92,-,5,22,45.4,3.662,,0.01,1.082,0.04,1.71,0.176,,,,,,,0.848,0.265,4.755,0.34,4591.980128,3576.43,21.81,5.60,24.94,0.25,0.32,21.83,0.32,0.23,-9999,0.005,0.004,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

426,0.0268445978,83.79520225,-5.37799565,257,83.79520225,-5.37799565,-0.11,0.16,-2.19,0.05,7,20.1,14.28,,83.7952027,-5.377986755,05 35 10.85,-05 22 40.8,,13.093,,13.722,0.007,0.007,,,-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

427,0.03920789146,83.85276059,-5.37850273,194,83.85276059,-5.37850273,-0.26,0.12,-0.13,0.03,3,16.3,12.72,,83.85276171,-5.37850217,05 35 24.66,-05 22 42.6,,10.853,,11.717,0.003,0.004,761,,0.1493395812,83.85270833,-5.3785,913,5,35,24.65,-,5,22,42.6,3.515,,0.002,-0.273,0.015,6.188,0.08,~,0.287,,<,6,,0.169,0.003,4.984,0.023,3273.406949,,,,,,,,,,0.05192930186,,,2M05352465-0522425,83.85273743,-5.378492832,32.655,0.393015,3631.59,45.4053,-9999,-9999,-9999,-9999,-9999

428,0.04681312749,83.84571488,-5.37821097,551,83.84571488,-5.37821097,-0.59,0.13,2.26,0.07,2,10.4,11.99,,83.84571743,-5.378220701,05 35 22.97,-05 22 41.6,,10.306,,11.123,0.003,0.005,726,,-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

429,0.03116683489,83.8359914,-5.37810983,639,83.8359914,-5.37810983,-1.12,0.21,1.69,0.25,2,11,17.22,,83.83599601,-5.378116751,05 35 20.64,-05 22 41.2,,15.108,,15.887,0.046,0.033,,,-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

430,-9999,-9999,-9999,-9999,,,,,,,,,,,,,05 35 18.40,-05 22 40.0,,12.649,,13.277,0.007,0.011,,,-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

431,0.1171044139,83.81215668,-5.37755875,700,83.81215668,-5.37755875,1.68,0.6,0.05,0.94,2,4.1,10.04,,83.81214941,-5.377558965,05 35 14.92,-05 22 39.1,,,,9.273,0.005,0.004,454,"LBLS-v,MS-16",0.4906336899,83.81204167,-5.377583333,121,5,35,14.89,-,5,22,39.3,3.662,,0.01,0.522,0.043,1.9,0.187,,,,,,,0.697,0.152,5.488,0.102,4591.980128,3603.37,22.26,6.65,33.49,0.29,0.34,18.80,0.45,0.97,-9999,0.751,0.652,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

432,0.04655546758,83.84096332,-5.37784917,153,83.84096332,-5.37784917,-0.33,0.31,0.48,0.31,3,16.3,13.59,,83.84096475,-5.377851237,05 35 21.83,-05 22 40.3,,12.038,,12.754,0.006,0.004,9293,,-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

433,0.08342646558,83.7837872,-5.37706059,480,83.7837872,-5.37706059,0.39,0.08,0.95,0.1,4,11,17.59,,83.78378554,-5.377064627,05 35 08.11,-05 22 37.5,,15.579,,16.698,0.024,0.037,,,-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

434,0.02269883485,83.79667293,-5.3771676,254,83.79667293,-5.3771676,0.06,0.17,-1.41,0.28,5,11,13.68,,83.79667268,-5.377161677,05 35 11.20,-05 22 37.8,,10.042,,12.644,0.003,0.004,,,-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

435,0.1298137967,83.81746512,-5.37707362,40,83.81746512,-5.37707362,-0.64,0.17,0.23,0.07,6,16.4,12.43,,83.81746789,-5.37707461,05 35 16.20,-05 22 37.5,,11.046,,11.646,0.006,0.004,9132,,-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

436,-9999,-9999,-9999,-9999,,,,,,,,,,,,,05 35 18.38,-05 22 37.5,,,,,0.003,0.004,589,,0.6299513172,83.82675,-5.377027778,157,5,35,18.42,-,5,22,37.3,3.722,,0.01,0.855,0.026,2.7,0.094,,,,,,,2.15,0.131,6.094,0.135,5272.298614,3658.25,41.40,346.87,32.93,0.27,0.08,16.30,0.38,0.90,-9999,0.127,0.111,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

437,0.3744487264,83.81344516,-5.37693818,712,83.81344516,-5.37693818,26.83,1.54,-18.43,1.46,2,4.1,15.09,,83.81344516,-5.37693818,05 35 15.21,-05 22 36.7,,10.971,,13.552,0.004,0.016,,LBLS-x,-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

438,0.09994393154,83.80869607,-5.3768084,32,83.80869607,-5.3768084,-0.47,0.38,0.23,0.23,6,14.5,10.89,,83.8086981,-5.37680939,05 35 14.09,-05 22 36.6,,9.837,,10.243,0.016,0.004,432,LBLS-k;IRc5-north,0.4480199705,83.80858333,-5.376833333,120,5,35,14.06,-,5,22,36.6,3.533,,0.01,-0.184,0.053,0.518,0.293,~,0.485,,<,6,,0.213,0.022,5.089,0.041,3411.929116,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

439,0.02467546844,83.80987289,-5.37668792,245,83.80987289,-5.37668792,0.68,0.11,0.01,0.03,8,17,14.3,,83.80986995,-5.376687963,05 35 14.37,-05 22 36.1,,11.657,,12.943,0.015,0.006,9063,LBLS-p,-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

440,-9999,-9999,-9999,-9999,,,,,,,,,,,,,05 35 17.36,-05 22 35.8,,,,9.552,0.003,0.003,548,,-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,1,3715.09,63.06,88.38,28.52,0.62,0.48,23.57,0.95,1.07,-9999,1.568,1.366,-9999,-9999,-9999,-9999,-9999,-9999,-9999,83.82225,-5.376583333,23.2,2.5,0535173-052235

441,-9999,-9999,-9999,-9999,,,,,,,,,,,,,05 35 16.91,-05 22 35.2,,13.008,,14.208,0.028,0.022,,,-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

442,0.1250967492,83.81871928,-5.37642795,157,83.81871928,-5.37642795,-0.45,0.05,-0.6,0.14,4,14,13.57,,83.81872123,-5.376425367,05 35 16.50,-05 22 35.2,,10.638,,11.182,0.006,0.003,519a/b,,-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,1,-10.00,,,-10,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

443,0.06979075272,83.81107017,-5.37604127,93,83.81107017,-5.37604127,-0.63,0.02,0.14,0.11,4,14,9.68,,83.81107289,-5.376041873,05 35 14.66,-05 22 33.8,,9.195,,9.536,0.005,0.003,448,LBLS-t,0.3149761174,83.81116667,-5.376083333,123,5,35,14.68,-,5,22,33.9,3.609,,0.01,0.382,0.062,2.029,0.288,,1.27,0.076,,6.01,0.002,0.38,0.035,4.914,0.065,4064.433292,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

444,0.06900891999,83.82975793,-5.37626031,293,83.82975793,-5.37626031,0.39,0.2,1.37,0.16,4,16.9,14.22,,83.82975629,-5.376266063,05 35 19.14,-05 22 34.6,,12.878,,13.48,0.012,0.006,9249,,-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

445,0.06860101921,83.79225704,-5.37573228,46,83.79225704,-5.37573228,-1.02,0.2,0.73,0.26,4,16.3,12.52,,83.79226145,-5.375735423,05 35 10.14,-05 22 32.7,,10.927,,11.401,0.003,0.004,340,,0,83.79225,-5.37575,999,5,35,10.14,-,5,22,32.7,3.553,,0.01,-0.538,0.05,0.978,0.267,,0.561,0.103,,6.55,0.095,0.346,0.051,6.131,0.03,3572.728382,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,83.79241667,-5.3757,23,2.3,0535101-052232

446,0.04595474741,83.83198786,-5.37616256,382,83.83198786,-5.37616256,-0.63,0.03,-1.55,0.16,3,16.9,16.44,,83.83199058,-5.376155886,05 35 19.68,-05 22 34.2,,14.326,,15.492,0.066,0.023,,,-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

447,0.05347460652,83.81619415,-5.37588428,241,83.81619415,-5.37588428,0.24,0.15,1.21,0.17,6,16.4,13.37,,83.81619313,-5.375889393,05 35 15.89,-05 22 33.2,,11.419,,12.376,0.03,0.006,9119,,-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

448,0.08044936382,83.80982703,-5.37575633,703,83.80982703,-5.37575633,1.87,0.95,0.91,0.68,2,4.1,17.21,,83.80981894,-5.375760248,05 35 14.36,-05 22 32.8,,,,11.466,0.004,0.005,,LBLS-n,-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

449,0.05545346971,83.84219447,-5.37613205,125,83.84219447,-5.37613205,-0.91,0.27,1.93,0.14,3,16.3,12.58,,83.84219841,-5.37614036,05 35 22.13,-05 22 34.1,,10.95,,11.704,0.003,0.004,9297,,0,83.84220833,-5.376138889,937,5,35,22.13,-,5,22,34.1,3.533,,0.003,-0.452,0.044,3.927,0.185,,0.433,0.025,,6.165,0.048,0.235,0.011,5.89,0.056,3411.929116,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

450,-9999,-9999,-9999,-9999,,,,,,,,,,,,,05 35 17.01,-05 22 33.1,,9.674,,9.994,0.003,0.003,536,,0.1797289763,83.82091667,-5.375833333,155,5,35,17.02,-,5,22,33,3.69,,0.01,0.388,0.033,2.317,0.151,,,,,,,1.325,0.2,6.18,0.126,4897.788194,3674.37,23.28,53.86,26.23,0.22,0.30,12.14,0.25,0.74,-9999,0.024,0.021,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

451,0.08641509944,83.80818453,-5.37552396,250,83.80818453,-5.37552396,0.84,0.21,-1.48,0.23,3,4.4,15.8,,83.8081809,-5.375517588,05 35 13.97,-05 22 31.9,,10.835,,12.743,0.032,0.014,,IRc3-south,-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

452,0.08902913684,83.83323581,-5.37575748,292,83.83323581,-5.37575748,-0.49,0.01,1.65,0.06,4,16.9,14.81,,83.83323785,-5.375764331,05 35 19.98,-05 22 32.8,,13.297,,13.999,0.006,0.005,9257,,-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

453,0.11708613,83.81195375,-5.37544002,94,83.81195375,-5.37544002,0.31,0.1,0.7,0.04,7,14,12.73,,83.81195242,-5.375443012,05 35 14.87,-05 22 31.7,,11.1,,11.583,0.006,0.005,452,LBLS-u,0.1797290555,83.81191667,-5.375444444,141,5,35,14.86,-,5,22,31.6,3.542,,0.004,-0.401,0.051,2.249,0.224,,0.5,0.035,,6.22,0.051,0.266,0.014,5.872,0.046,3483.37315,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

454,0.1136158006,83.78506451,-5.37505794,263,83.78506451,-5.37505794,-0.98,0.19,0.32,0.06,6,17,14.01,,83.78506875,-5.375059318,05 35 08.42,-05 22 30.3,,12.064,,12.78,0.002,0.003,,,0.1797291348,83.78504167,-5.375055556,101,5,35,8.41,-,5,22,30.2,3.508,,0.011,-0.791,0.101,6.031,0.538,,0.243,0.056,,6.195,0.125,0.179,0.023,6.088,0.112,3221.068791,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

455,0.05471070847,83.7871957,-5.37499147,484,83.7871957,-5.37499147,-0.68,0.33,-1.33,0.23,4,11,17.65,,83.78719864,-5.374985743,05 35 08.93,-05 22 30.0,,15.84,,16.65,0.019,0.018,,,-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

456,0.201074943,83.81261584,-5.37530969,244,83.81261584,-5.37530969,-1.54,0.15,-2.19,0.07,7,16.4,13.19,,83.8126225,-5.375300261,05 35 15.04,-05 22 31.2,,11.969,,12.448,0.037,0.008,9086,,0.1,83.81266667,-5.375305556,140,5,35,15.04,-,5,22,31.1,3.459,,0.013,-1.424,0.3,-1.527,1.813,~,0.058,,<,6,,0.102,0.032,6.477,0.17,2877.398415,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

457,0.06924410998,83.81974497,-5.37534254,175,83.81974497,-5.37534254,0.65,0.11,1.33,0.18,4,16.4,12.73,,83.81974223,-5.375348114,05 35 16.74,-05 22 31.3,,11.528,,12.08,0.008,0.003,9151,,0.1493403513,83.81970833,-5.375361111,134,5,35,16.73,-,5,22,31.3,3.515,,0.003,-0.713,0.034,1.662,0.161,,0.284,0.018,,6.2,0.046,0.191,0.008,6.047,0.029,3273.406949,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

458,-9999,-9999,-9999,-9999,,,,,,,,,,,,,05 35 14.31,-05 22 30.7,,11.542,,16.177,0.023,0.097,,IRc7,-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

459,0.03348449491,83.78079723,-5.37471475,126,83.78079723,-5.37471475,0.1,0.09,0.44,0.07,3,10.4,13.24,,83.7807968,-5.374716644,05 35 07.39,-05 22 29.0,,12.34,,12.801,0.003,0.005,302,,0.298681016,83.78070833,-5.374722222,93,5,35,7.37,-,5,22,29,3.494,,0.001,-0.865,0.011,0.382,0.05,,0.157,0.007,,6.055,0.031,0.157,0.001,6.115,0.009,3118.889584,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,,,,

460,0.1495422721,83.85142447,-5.3756424,98,83.85142447,-5.3756424,-1.58,0.25,0.12,0.08,4,16.9,13.23,,83.8514313,-5.375642917,05 35 24.35,-05 22 32.4,,10.383,,11.892,0.003,0.005,9317,,-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

461,0.09951705473,83.83630658,-5.37540927,27,83.83630658,-5.37540927,-0.47,0.06,-0.39,0.46,3,16.3,13.1,,83.8363086,-5.375407599,05 35 20.72,-05 22 31.5,,11.513,,12.179,0.003,0.003,9270,,0.1,83.83633333,-5.375388889,935,5,35,20.72,-,5,22,31.4,3.505,,0.002,-0.783,0.022,3.008,0.109,,0.229,0.012,,6.14,0.03,0.173,0.004,6.074,0.016,3198.89511,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

462,0.1006796536,83.82397245,-5.37527232,295,83.82397245,-5.37527232,-0.71,0.66,-1.01,0.11,3,11,13.78,,83.82397546,-5.375268053,05 35 17.76,-05 22 31.0,,10.907,,12.211,0.005,0.004,9197,,-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

463,0.03931879247,83.82742106,-5.37526777,294,83.82742106,-5.37526777,-0.38,0.06,-2.44,0.22,5,16.9,14.8,,83.8274227,-5.375257264,05 35 18.58,-05 22 31.0,,12.929,,13.952,0.032,0.023,9231,,-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

464,0.03130418213,83.81137927,-5.37495203,711,83.81137927,-5.37495203,-0.7,0.97,0.42,0.73,2,4.1,,,83.8113823,-5.374953838,05 35 14.73,-05 22 29.8,,10.506,,13.779,0.008,0.031,,,-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

465,0.03130418213,83.81137927,-5.37495203,711,83.81137927,-5.37495203,-0.7,0.97,0.42,0.73,2,4.1,,,83.8113823,-5.374953838,05 35 14.73,-05 22 29.8,,10.506,,13.78,0.008,0.031,,,-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

466,-9999,-9999,-9999,-9999,,,,,,,,,,,,,05 35 10.45,-05 22 27.3,,15.242,,17.069,0.036,0.062,,,-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

467,0.07044651375,83.78031502,-5.37404845,131,83.78031502,-5.37404845,0.24,0.09,-0.66,0.78,4,10.4,12.1,,83.78031398,-5.374045608,05 35 07.28,-05 22 26.6,,11.171,,11.694,0.002,0.004,300,,0.3149770605,83.78025,-5.374027778,91,5,35,7.26,-,5,22,26.5,3.499,,0.001,-0.517,0.011,0.791,0.052,~,0.169,,<,6,,0.15,0.001,5.234,0.02,3155.004623,,,,,,,,,,0.06707310038,,,2M05350727-0522266,83.78031921,-5.374067783,26.475,0.727366,3186.84,34.5825,83.78041667,-5.374,27.1,0.9,0535073-052226

