[HC2000],sepHC_Kim,ra_1,dec_1,ID_Kim,ra_2,dec_2,mualpha,mualpha_err,mudelta,mudelta_err,Nepochs,dT,mag139,flag,RAJ2000_1,DECJ2000,RAJ2000_2,DEJ2000,l_Kmag,Kmag,l_Hmag,Hmag,e_Kmag,e_Hmag,OptID,AltID,sepHC_daRio,ra,dec,ID_daRio,RAh,RAm,RAs,DE-,DEd,DEm,DEs,logT,Temp(daRio),e_logT,logL,e_logL,AV,e_AV,f_BMass,BMass,e_BMass,l_logBA,logBA,e_logBA,DMass,e_DMass,logDA,e_logDA,Temp_daRio,Temp_us,eTemp_us,eTemp_us_STD,RV_us,RVe_us,RVe_us_STD,vsini_us,vsinie_us,vsinie_us_STD,sepHC_APOGEE,veiling_O32,veiling_O33,2MASS,ra_apogee,dec_apogee,RV_apogee,RVe_apogee,Temp_apogee,eTemp_apogee,raT,decT,RV_tobin,RVe_tobin,ID
17,-9999,-9999,-9999,-9999,,,,,,,,,,,,,05 35 20.05,-05 25 37.7,,10.124,,10.804,0.001,0.003,636,,0.3351100307,83.8335,-5.427055556,215,5,35,20.04,-,5,25,37.4,3.582,3819.442708,0.01,-0.192,0.052,1.045,0.251,,0.93,0.112,,6.505,0.057,0.387,0.029,5.816,0.015,3819.442708,,,,,,,,,,0.1835377682,,,2M05352004-0525375,83.83351135,-5.427097797,26.7125,0.245601,4171.46,18.6521,-9999,-9999,-9999,-9999,-9999

18,0.0864109108,83.84594168,-5.42673958,689,83.84594168,-5.42673958,-0.23,0.46,-0.41,0.26,2,9.9,14.86,,83.84594267,-5.426737815,05 35 23.03,-05 25 36.2,,12.998,,13.933,0.002,0.004,,,-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

19,0.1148774894,83.82598692,-5.42645888,621,83.82598692,-5.42645888,12.93,0.05,-6.77,0.11,2,14.6,13.06,,83.82598692,-5.42645888,05 35 18.23,-05 25 35.2,,12.369,,12.824,0.002,0.005,583,,0.4479832906,83.82583333,-5.426444444,197,5,35,18.2,-,5,25,35.2,3.569,3706.807218,0.01,-0.868,0.005,0,0.229,,0.662,0.072,,7.24,0.156,0.52,0.087,6.943,0.175,3706.807218,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

20,0.01338140775,83.83895647,-5.42639211,368,83.83895647,-5.42639211,1.07,0.26,-0.46,0.32,4,16.9,15.62,,83.83895184,-5.426390129,05 35 21.35,-05 25 35.0,,14.188,,14.873,0.008,0.01,,,-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

21,0.1101002254,83.82480553,-5.42612588,453,83.82480553,-5.42612588,0.5,0.04,1.11,2.8,3,14.6,12.28,,83.82480337,-5.426130659,05 35 17.96,-05 25 34.1,,11.023,,11.526,0.002,0.003,570a/b,,0.335110141,83.82479167,-5.426055556,193,5,35,17.95,-,5,25,33.8,3.511,3243.396173,0.001,-0.659,0.021,0.434,0.091,,0.275,0.009,,6.1,0.025,0.179,0.002,5.982,0.028,3243.396173,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

22,0.04096389188,83.83708622,-5.42623899,665,83.83708622,-5.42623899,-0.58,0.16,-0.73,0.34,2,10.6,14.44,,83.8370887,-5.426235881,05 35 20.90,-05 25 34.5,,13.186,,13.742,0.003,0.005,,,0,83.83708333,-5.42625,221,5,35,20.9,-,5,25,34.5,3.455,2851.018268,0.006,-1.992,0.181,-1.984,1.059,,0.053,0.008,,6.715,0.116,0.06,0.018,6.788,0.041,2851.018268,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

23,0.1059360052,83.81533522,-5.4258873,616,83.81533522,-5.4258873,0.09,0.2,-0.74,0.11,2,14.6,11.38,,83.81533483,-5.425884114,05 35 15.68,-05 25 33.3,,9.925,,10.569,0.001,0.003,482,,0.1,83.81533333,-5.425888889,165,5,35,15.68,-,5,25,33.2,3.597,3953.666201,0.01,-0.183,0.049,2.296,0.225,,1.049,0.078,,6.66,0.035,0.46,0.033,5.926,0.023,3953.666201,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

24,0.03011711124,83.79649272,-5.42563471,354,83.79649272,-5.42563471,1.41,0.67,-0.76,0.51,4,17,13.81,,83.79648662,-5.425631438,05 35 11.16,-05 25 32.3,,12.498,,13.14,0.002,0.004,3098,,0.1493279629,83.79645833,-5.425638889,122,5,35,11.15,-,5,25,32.3,3.492,3104.559588,0.002,-1.214,0.027,1.438,0.117,,0.157,0.007,,6.435,0.035,0.166,0.004,6.472,0.036,3104.559588,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

25,0.1327663017,83.83397288,-5.42605821,343,83.83397288,-5.42605821,-0.05,0.3,1.55,0.26,3,16.9,15.01,,83.8339731,-5.426064884,05 35 20.16,-05 25 33.9,,13.898,,14.465,0.004,0.007,9260,,-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

26,-9999,-9999,-9999,-9999,,,,,,,,,,,,,05 35 10.08,-05 25 31.5,,15.715,,16.998,0.025,0.042,,,-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

27,0.0358344877,83.83871706,-5.42586597,439,83.83871706,-5.42586597,0.85,0.07,0.06,0.46,3,16.2,17.76,,83.83871338,-5.425866228,05 35 21.29,-05 25 33.1,,16.303,,17.204,0.049,0.069,,,-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

