#,HC2000,_RAJ2000,_DEJ2000,RAJ2000,DEJ2000,Kmag,Hmag,mass(daRio12),rv_Tobin,rv_e_Tobin,rv_ours,rv_e_ours
78,138,83.82195833333331,-5.406722222222222,05 35 17.27,-05 24 24.2,12.748,12.857,,,,,
79,239,83.82220833333332,-5.394833333333334,05 35 17.33,-05 23 41.4,12.145,12.949,,,,,
80,440,83.82233333333332,-5.376611111111111,05 35 17.36,-05 22 35.8,8.521,9.552,,23.2,2.5,,
81,313,83.82279166666665,-5.389194444444445,05 35 17.47,-05 23 21.1,9.687,10.459,,,,1.0,1.0
82,388,83.82316666666665,-5.382444444444444,05 35 17.56,-05 22 56.8,9.096,9.598,1.335,27.2,2.0,,
83,295,83.82320833333331,-5.39025,05 35 17.57,-05 23 24.9,10.501,11.787,,,,1.0,1.0
84,332,83.82424999999999,-5.387666666666667,05 35 17.82,-05 23 15.6,9.87,10.169,1.004,,,1.0,1.0
85,425,83.82479166666666,-5.379305555555555,05 35 17.95,-05 22 45.5,7.58,7.89,0.848,,,1.0,1.0
86,177,83.82533333333332,-5.400333333333334,05 35 18.08,-05 24 01.2,10.326,11.001,0.2,,,,
87,253,83.82587499999998,-5.393305555555556,05 35 18.21,-05 23 35.9,7.924,8.738,,25.9,1.7,,
88,331,83.82604166666665,-5.387694444444445,05 35 18.25,-05 23 15.7,10.563,11.536,,,,1.0,1.0
89,436,83.82658333333332,-5.377083333333333,05 35 18.38,-05 22 37.5,8.55,8.8,2.15,,,1.0,1.0
90,163,83.82699999999998,-5.401944444444445,05 35 18.48,-05 24 07.0,10.478,10.967,0.423,,,,
91,337,83.82779166666664,-5.387222222222222,05 35 18.67,-05 23 14.0,7.635,9.201,,,,1.0,1.0
92,713,83.82795833333331,-5.382472222222222,05 35 18.71,-05 22 56.9,8.704,9.627,0.94,,,1.0,1.0
93,282,83.82866666666665,-5.391361111111111,05 35 18.88,-05 23 28.9,10.944,11.565,0.374,,,,
94,214,83.82945833333332,-5.397111111111111,05 35 19.07,-05 23 49.6,10.085,11.118,0.949,,,,
95,288,83.82966666666665,-5.3908611111111115,05 35 19.12,-05 23 27.1,10.622,11.064,0.934,0.0,0.0,,
96,408,83.83008333333332,-5.38075,05 35 19.22,-05 22 50.7,10.521,10.86,0.991,,,1.0,1.0
97,188,83.83174999999999,-5.39925,05 35 19.62,-05 23 57.3,11.594,11.797,0.441,,,,
98,277,83.83524999999999,-5.391583333333334,05 35 20.46,-05 23 29.7,9.125,9.848,1.009,,,,
99,217,83.83770833333331,-5.396944444444445,05 35 21.05,-05 23 49.0,8.46,8.79,1.85,,,,
100,229,83.83904166666665,-5.395944444444445,05 35 21.37,-05 23 45.4,10.278,10.904,0.988,27.9,1.7,,
101,204,83.840875,-5.398305555555556,05 35 21.81,-05 23 53.9,9.372,9.783,0.942,23.2,3.1,,
102,197,83.84120833333331,-5.398750000000001,05 35 21.89,-05 23 55.5,10.989,11.482,,,,,
