RAJ2000,DEJ2000,M,_2MASS,HRV,e_HRV,o_HRV,Vmag,V-I,mult,_2M,RAJ2000,DEJ2000
83.5197625,-4.98676667,b'M',b'0534047-045912',26.4,0.3,2,18.71,3.35,1,b'2M',b'05 34 04.743',b'-04 59 12.36\r'
83.52065,-6.39638611,b'M',b'0534049-062346',23.9,0.6,1,0.0,0.0,1,b'2M',b'05 34 04.956',b'-06 23 46.99\r'
83.52389583,-5.87876389,b'M',b'0534057-055243',24.6,0.4,1,17.7,2.81,1,b'2M',b'05 34 05.735',b'-05 52 43.55\r'
83.523875,-6.48103889,b'M',b'0534057-062851',113.6,0.4,1,0.0,0.0,1,b'2M',b'05 34 05.730',b'-06 28 51.74\r'
83.52477083,-5.37743056,b'M',b'0534059-052238',19.9,1.6,1,17.56,3.4,1,b'2M',b'05 34 05.945',b'-05 22 38.75\r'
83.52479167,-5.3788,b'M',b'0534059-052243',25.9,0.9,2,18.48,3.5,1,b'2M',b'05 34 05.950',b'-05 22 43.68\r'
83.52785,-6.40331389,b'M',b'0534066-062411',2.9,1.3,1,0.0,0.0,1,b'2M',b'05 34 06.684',b'-06 24 11.93\r'
83.529625,-5.82366389,b'B',b'0534071-054925',39.7,8.1,2,17.25,2.35,2,b'2M',b'05 34 07.110',b'-05 49 25.19\r'
83.5307375,-4.54208333,b'M',b'0534073-043231',-12.9,0.5,3,0.0,0.0,1,b'2M',b'05 34 07.377',b'-04 32 31.50\r'
83.53107083,-5.22680556,b'M',b'0534074-051336',30.5,0.3,2,16.11,2.36,1,b'2M',b'05 34 07.457',b'-05 13 36.50\r'
83.53320833,-5.6047,b'M',b'0534079-053616',0.0,0.0,0,19.0,3.81,1,b'2M',b'05 34 07.970',b'-05 36 16.92\r'
83.53374583,-6.15681111,b'M',b'0534080-060924',1.2,0.5,1,0.0,0.0,1,b'2M',b'05 34 08.099',b'-06 09 24.52\r'
83.53405,-4.7326,b'M',b'0534081-044357',20.8,0.8,3,16.71,2.08,1,b'2M',b'05 34 08.172',b'-04 43 57.36\r'
83.534475,-4.43358611,b'M',b'0534082-042600',30.3,0.9,3,17.13,2.37,1,b'2M',b'05 34 08.274',b'-04 26 00.91\r'
83.53989583,-5.01992222,b'M',b'0534095-050111',-5.2,1.5,4,17.3,2.36,1,b'2M',b'05 34 09.575',b'-05 01 11.72\r'
83.5404625,-4.81288333,b'M',b'0534097-044846',22.1,1.6,3,17.8,2.79,1,b'2M',b'05 34 09.711',b'-04 48 46.38\r'
83.54085417,-4.47208889,b'M',b'0534098-042819',53.7,0.2,3,14.47,1.35,1,b'2M',b'05 34 09.805',b'-04 28 19.52\r'
83.54354167,-4.8431,b'B',b'0534104-045035',23.8,2.3,4,13.01,1.2,2,b'2M',b'05 34 10.450',b'-04 50 35.16\r'
83.54337083,-5.17248889,b'M',b'0534104-051020',-41.7,1.1,3,16.91,2.26,1,b'2M',b'05 34 10.409',b'-05 10 20.96\r'
83.54833333,-5.9227,b'M',b'0534116-055521',24.0,0.8,2,16.45,2.43,1,b'2M',b'05 34 11.600',b'-05 55 21.72\r'
83.54954167,-5.1045,b'M',b'0534118-050616',0.0,0.0,0,20.27,3.61,1,b'2M',b'05 34 11.890',b'-05 06 16.20\r'
83.55012083,-5.40545278,b'B',b'0534120-052419',22.7,5.4,2,18.81,3.5,2,b'2M',b'05 34 12.029',b'-05 24 19.63\r'
83.5502375,-6.28398889,b'M',b'0534120-061702',30.6,0.7,1,18.5,3.39,1,b'2M',b'05 34 12.057',b'-06 17 02.36\r'
83.55254167,-4.8402,b'M',b'0534126-045024',30.4,0.1,2,12.79,1.28,1,b'2M',b'05 34 12.610',b'-04 50 24.72\r'
83.55417083,-5.70371389,b'M',b'0534130-054213',27.5,0.4,1,15.93,2.07,1,b'2M',b'05 34 13.001',b'-05 42 13.37\r'
83.55495833,-5.5648,b'M',b'0534131-053353',21.2,0.9,2,15.67,1.76,1,b'2M',b'05 34 13.190',b'-05 33 53.28\r'
83.5550125,-5.56487778,b'M',b'0534132-053353',0.0,0.0,0,15.67,1.76,1,b'2M',b'05 34 13.203',b'-05 33 53.56\r'
83.55609167,-5.92827222,b'M',b'0534134-055541',26.4,0.6,1,16.73,2.55,1,b'2M',b'05 34 13.462',b'-05 55 41.78\r'
83.55733333,-5.0011,b'M',b'0534137-050003',0.0,0.0,0,20.67,3.82,1,b'2M',b'05 34 13.760',b'-05 00 03.96\r'
83.55780417,-5.60982778,b'M',b'0534138-053635',23.9,3.4,1,17.52,2.94,1,b'2M',b'05 34 13.873',b'-05 36 35.38\r'
83.55869583,-5.789425,b'M',b'0534140-054721',25.8,5.0,2,17.29,2.62,1,b'2M',b'05 34 14.087',b'-05 47 21.93\r'
83.55875,-5.61472222,b'M',b'0534141-053653',26.5,0.5,2,0.0,0.0,1,b'2M',b'05 34 14.100',b'-05 36 53.00\r'
83.559,-5.615,b'M',b'0534141-053654',38.3,1.0,2,0.0,0.0,1,b'2M',b'05 34 14.160',b'-05 36 54.00\r'
83.5591875,-5.70584167,b'M',b'0534142-054221',26.8,2.3,2,16.09,2.26,1,b'2M',b'05 34 14.205',b'-05 42 21.03\r'
83.56145417,-6.32171111,b'M',b'0534147-061918',26.2,0.9,1,16.01,2.44,1,b'2M',b'05 34 14.749',b'-06 19 18.16\r'
83.562,-5.23843889,b'M',b'0534148-051418',27.8,1.1,4,17.37,2.51,1,b'2M',b'05 34 14.880',b'-05 14 18.38\r'
83.56357917,-5.08104167,b'M',b'0534152-050451',27.3,0.1,2,19.03,3.86,1,b'2M',b'05 34 15.259',b'-05 04 51.75\r'
83.5643875,-6.11531111,b'M',b'0534154-060655',49.4,0.4,1,16.94,2.32,1,b'2M',b'05 34 15.453',b'-06 06 55.12\r'
83.56529167,-5.5401,b'M',b'0534156-053224',15.4,2.0,1,17.38,2.79,1,b'2M',b'05 34 15.670',b'-05 32 24.36\r'
83.5681125,-4.82420833,b'M',b'0534163-044927',25.0,1.9,1,18.38,3.37,1,b'2M',b'05 34 16.347',b'-04 49 27.15\r'
83.56858333,-5.6127,b'M',b'0534164-053645',26.9,0.7,4,11.34,0.89,1,b'2M',b'05 34 16.460',b'-05 36 45.72\r'
83.5703125,-5.07251944,b'M',b'0534168-050421',31.6,0.8,3,15.99,2.34,1,b'2M',b'05 34 16.875',b'-05 04 21.07\r'
83.57116667,-4.801,b'M',b'0534170-044803',0.0,0.0,0,20.33,3.64,1,b'2M',b'05 34 17.080',b'-04 48 03.60\r'
83.57142083,-5.63800556,b'M',b'0534171-053816',30.3,0.6,1,16.6,2.71,1,b'2M',b'05 34 17.141',b'-05 38 16.82\r'
83.57204167,-5.38,b'M',b'0534172-052248',21.0,1.9,1,19.74,3.65,1,b'2M',b'05 34 17.290',b'-05 22 48.00\r'
83.57179583,-5.48453056,b'M',b'0534172-052904',27.2,4.0,2,18.58,4.06,1,b'2M',b'05 34 17.231',b'-05 29 04.31\r'
83.57290833,-5.17659167,b'M',b'0534174-051035',0.0,0.0,0,18.76,3.05,1,b'2M',b'05 34 17.498',b'-05 10 35.73\r'
83.57285417,-5.53295278,b'M',b'0534174-053158',25.9,0.4,3,15.86,2.54,1,b'2M',b'05 34 17.485',b'-05 31 58.63\r'
83.57409583,-5.92865,b'M',b'0534177-055543',6.5,0.9,1,17.26,2.79,1,b'2M',b'05 34 17.783',b'-05 55 43.14\r'
83.57503333,-5.55925278,b'M',b'0534180-053333',23.0,0.3,1,15.04,1.98,1,b'2M',b'05 34 18.008',b'-05 33 33.31\r'
83.57566667,-5.476,b'M',b'0534181-052833',13.7,1.8,1,18.87,3.42,1,b'2M',b'05 34 18.160',b'-05 28 33.60\r'
83.57745833,-5.08,b'M',b'0534185-050448',25.3,1.0,3,11.58,1.01,1,b'2M',b'05 34 18.590',b'-05 04 48.00\r'
83.57775,-5.6189,b'M',b'0534186-053708',0.0,0.0,0,18.63,3.23,1,b'2M',b'05 34 18.660',b'-05 37 08.04\r'
83.58061667,-5.84057222,b'M',b'0534193-055026',19.4,0.5,1,17.38,3.09,1,b'2M',b'05 34 19.348',b'-05 50 26.06\r'
83.5815,-5.5055,b'M',b'0534195-053019',24.8,0.7,3,14.55,1.93,1,b'2M',b'05 34 19.560',b'-05 30 19.80\r'
83.581975,-5.04151944,b'B',b'0534196-050229',40.4,5.3,4,17.86,2.82,2,b'2M',b'05 34 19.674',b'-05 02 29.47\r'
83.5828875,-6.31330833,b'M',b'0534198-061847',25.9,0.5,1,17.53,2.67,1,b'2M',b'05 34 19.893',b'-06 18 47.91\r'
83.58440417,-5.97100278,b'M',b'0534202-055815',25.6,0.4,1,17.0,2.83,1,b'2M',b'05 34 20.257',b'-05 58 15.61\r'
83.58464583,-4.56761944,b'B',b'0534203-043403',26.3,2.6,3,16.72,2.7,2,b'2M',b'05 34 20.315',b'-04 34 03.43\r'
83.58475417,-4.98234722,b'M',b'0534203-045856',26.8,0.7,4,17.07,2.57,1,b'2M',b'05 34 20.341',b'-04 58 56.45\r'
83.58554167,-5.3125,b'M',b'0534205-051845',0.0,0.0,0,0.0,0.0,1,b'2M',b'05 34 20.530',b'-05 18 45.00\r'
83.58619167,-4.58386944,b'M',b'0534206-043501',28.3,0.7,1,17.29,2.67,1,b'2M',b'05 34 20.686',b'-04 35 01.93\r'
83.586375,-5.54309444,b'M',b'0534207-053235',26.2,2.4,2,17.8,2.86,1,b'2M',b'05 34 20.730',b'-05 32 35.14\r'
83.58700417,-5.11392778,b'M',b'0534208-050650',25.4,3.0,3,18.26,3.11,1,b'2M',b'05 34 20.881',b'-05 06 50.14\r'
83.58667083,-5.39143889,b'M',b'0534208-052329',18.7,0.5,1,17.22,2.54,1,b'2M',b'05 34 20.801',b'-05 23 29.18\r'
83.58745833,-5.41347778,b'M',b'0534209-052448',29.0,0.8,2,17.52,2.66,1,b'2M',b'05 34 20.990',b'-05 24 48.52\r'
83.58854167,-4.8424,b'M',b'0534212-045032',0.0,0.0,0,18.81,3.04,1,b'2M',b'05 34 21.250',b'-04 50 32.64\r'
83.5884875,-5.59298889,b'M',b'0534212-053534',22.9,5.4,2,17.79,2.97,1,b'2M',b'05 34 21.237',b'-05 35 34.76\r'
83.58937083,-4.92996389,b'M',b'0534214-045547',22.5,2.5,3,18.18,3.47,1,b'2M',b'05 34 21.449',b'-04 55 47.87\r'
83.58995833,-5.17054167,b'B',b'0534215-051013',24.9,62.5,3,17.03,2.31,2,b'2M',b'05 34 21.590',b'-05 10 13.95\r'
83.58973333,-5.18153889,b'M',b'0534215-051053',34.9,0.8,1,18.74,3.32,1,b'2M',b'05 34 21.536',b'-05 10 53.54\r'
83.59125,-5.2585,b'M',b'0534219-051530',20.7,1.3,1,16.55,0.0,1,b'2M',b'05 34 21.900',b'-05 15 30.60\r'
83.59199167,-5.026175,b'B',b'0534220-050134',22.7,3.9,2,18.45,3.16,2,b'2M',b'05 34 22.078',b'-05 01 34.23\r'
83.5933125,-5.37416389,b'M',b'0534223-052226',23.9,0.7,1,18.2,2.71,1,b'2M',b'05 34 22.395',b'-05 22 26.99\r'
83.59333333,-5.3741,b'M',b'0534224-052226',0.0,0.0,0,18.2,2.71,1,b'2M',b'05 34 22.400',b'-05 22 26.76\r'
83.59577917,-4.69424167,b'M',b'0534229-044139',30.1,0.2,3,15.43,2.01,1,b'2M',b'05 34 22.987',b'-04 41 39.27\r'
83.59591667,-4.6943,b'M',b'0534230-044139',30.2,0.4,2,15.43,2.01,1,b'2M',b'05 34 23.020',b'-04 41 39.48\r'
83.59837083,-6.31081389,b'M',b'0534236-061838',23.1,0.6,1,16.16,2.41,1,b'2M',b'05 34 23.609',b'-06 18 38.93\r'
83.59924583,-5.13775278,b'M',b'0534238-050815',25.7,1.7,4,17.19,2.86,1,b'2M',b'05 34 23.819',b'-05 08 15.91\r'
83.601025,-4.41110833,b'B',b'0534242-042439',8.8,3.6,3,0.0,0.0,2,b'2M',b'05 34 24.246',b'-04 24 39.99\r'
83.60287083,-6.36047778,b'M',b'0534246-062137',5.5,0.5,1,0.0,0.0,1,b'2M',b'05 34 24.689',b'-06 21 37.72\r'
83.604175,-6.01777222,b'M',b'0534250-060103',0.0,0.0,0,14.38,1.31,1,b'2M',b'05 34 25.002',b'-06 01 03.98\r'
83.60527083,-4.91105278,b'M',b'0534252-045439',20.4,1.1,3,16.78,3.04,1,b'2M',b'05 34 25.265',b'-04 54 39.79\r'
83.60525833,-6.245225,b'M',b'0534252-061442',-24.4,0.8,1,16.43,2.02,1,b'2M',b'05 34 25.262',b'-06 14 42.81\r'
83.60595833,-4.9486,b'M',b'0534254-045654',25.4,0.5,2,15.66,2.31,1,b'2M',b'05 34 25.430',b'-04 56 54.96\r'
