HC2000,_RAJ2000,_DEJ2000,RAJ2000,DEJ2000,year,month,day,itime,sci_frames,tel_frames,teff,teff_e,vsini,vsini_e,rv,rv_helio,rv_e,airmass,airmass_e,pwv,pwv_e,veiling,veiling_e,veiling_param_O32,veiling_param_O33,veiling_param_O35,lsf,lsf_e,noise,noise_e,model_dip_O32,model_std_O32,model_dip_O33,model_std_O33,model_dip_O35,model_std_O35,wave_offset_O32,wave_offset_O32_e,wave_offset_O33,wave_offset_O33_e,wave_offset_O35,wave_offset_O35_e,snr_O32,snr_O33,snr_O35,Kmag,Kmag_e,Hmag,Hmag_e
436,83.82658333333332,-5.377083333333333,05 35 18.38,-05 22 37.5,18,2,12,90.0,"[70, 71, 72, 73]","[74, 75, 75, 74]",3675.6598015836416,48.9527455353325,16.438728170737384,0.4595996462188925,55.63182643935136,32.47143778138068,0.29074823103333003,1.393799166980385,0.015028563356423108,1.0885831963047448,0.032183860773188355,18644.073752150078,5073.685546593077,0.13116091583925593,0.11409432683517423,,5.027123561209921,0.08549296501523207,1.622841415912206,0.026026634483490962,1.7086822860780835,0.5481918189729788,3.523592533313363,0.7172056102623245,,,-0.09896948634942765,0.008363489073745782,0.19772776753346105,0.009879103337405437,,,27.745918008876174,42.53886402375086,,,,,
354_B2,83.81712499999999,-5.385222222222223,05 35 16.11,-05 23 06.8,18,2,13,120.0,"[25, 26, 27, 28]","[40, 41, 41, 40]",4973.570070948006,195.58615253410017,17.11277446058887,3.852037240178923,50.20743719987015,27.17275206342655,1.7692294479925224,1.0055040500081902,0.004886019416568743,1.7669013125859743,0.031807239222460204,822017.9479611851,175525.23850301624,3.5435234424722775,3.1232003367116365,,5.164417809125715,0.09537821776512345,2.8717802665635777,0.047491201484814116,1.5083078151968827,0.6384443458624021,1.9642728062074362,0.4161440025809464,,,-0.053610128584385144,0.007746376246302738,-0.16126635670188624,0.012304787833699996,,,61.683820587028,84.06192289365879,,,,,
354_B3,83.81712499999999,-5.385222222222223,05 35 16.11,-05 23 06.8,18,2,13,120.0,"[25, 26, 27, 28]","[40, 41, 41, 40]",4966.284177244806,175.5056183289662,16.57431944522298,3.1227758889869426,50.39470671235826,27.360021575914658,1.3229092705616168,1.0034242043058486,0.004281930758237018,1.7670230881320272,0.026173913368158663,845970.4254407933,159439.99418464466,3.6531532863099074,3.2194527067934873,,5.170667613177025,0.0810479439364511,2.8758118116326967,0.04367471924082422,1.5039113818129586,0.6381189668777348,1.9386405601830639,0.41264345840250366,,,-0.05276020435639317,0.007640609123753115,-0.16236508960001242,0.010631487007964013,,,61.683820587028,84.06192289365879,,,,,
354_B1,83.81712499999999,-5.385222222222223,05 35 16.11,-05 23 06.8,18,2,13,30.0,"[32, 33, 34, 35]","[40, 41, 41, 40]",6652.7861060978075,207.69136404678238,27.961651397895047,6.631821303088801,70.71633208735352,47.639759982490105,4.736335309678111,1.004684411947601,0.004697765880185667,1.7606184246131722,0.035869513483043125,81407.66313966877,85431.41133824321,0.24992780102837128,0.2221919370991068,,5.1353900457852015,0.08635687513008339,2.3012013894132894,0.03791314162073345,3.42226612463395,1.838778808143973,2.3615885283753357,0.8771824946668743,,,-0.19387578367931993,0.010384430119157406,-0.3314313339694316,0.01290935396999901,,,48.15935202213943,67.04554884985583,,,,,
354_B4,83.81712499999999,-5.385222222222223,05 35 16.11,-05 23 06.8,18,2,13,600.0,"[36, 37, 38, 39]","[40, 41, 41, 40]",3213.3924396085386,62.80639750675118,51.84929016979839,2.2189024816136502,53.12928505449942,30.006968812946077,1.648480907393946,1.0120445703584156,0.010298162545868461,1.397542196470098,0.11225856250352095,769.8407205376956,896.9806924728514,0.007802844051359084,0.0066568795537024425,,4.877399548660671,0.14439581056740414,1.0867912623663174,0.018489481887916437,0.12167056361991402,0.041617760052370424,0.28793716968962335,0.06716807673118297,,,-0.15260937012119086,0.022226858420954843,-0.2115509089485101,0.017579732210577473,,,8.622844809849102,19.106231567251605,,,,,
442,83.81875,-5.376444444444444,05 35 16.50,-05 22 35.2,18,2,13,450.0,"[42, 43, 44, 45]","[46, 47, 47, 46]",3817.283241888461,534.7412441470699,59.53108104146295,19.13216060578224,58.44032970062846,35.14201266050492,13.082572176417251,1.1383059714458534,0.08178840327837456,0.9777921436904544,0.22946092312484906,125414.02045354337,115262.97964609519,0.8036808972256164,0.7011557878470964,,5.508691568711496,0.6071029379658901,1.0010306964174318,0.0013403095025998901,0.02872231113025059,0.010590052408027711,0.06612466804564468,0.01557346763596704,,,0.1591028127267058,0.07025701512741517,0.049533772982174054,0.07837457381637294,,,2.7687451146856303,4.87692562922912,,10.638,0.006,11.182,0.003
344,83.81570833333332,-5.386083333333334,05 35 15.77,-05 23 09.9,18,2,13,60.0,"[48, 49, 50, 51]","[52, 53, 53, 52]",3550.770174462682,97.86226734717457,32.137486710442694,2.67975980910148,-4.101596182745861,-27.490813386753548,1.5481037253028842,1.422625650637918,0.018377804126911146,1.8691198255279071,0.06530623242698885,289879.0301280695,47444.42926513942,2.2254355408550826,1.9305883587771064,,5.045528033244763,0.10381125415052894,1.7314354107033283,0.032940886862531826,1.6452414903451071,0.73298150006333,2.313944365533308,0.5510154256595564,,,-0.02582820722177041,0.009607529468823438,-0.09994262442791794,0.010146069861711134,,,28.90523354243471,44.21279649765869,,,,,
522_A,83.81787499999999,-5.369555555555555,05 35 16.29,-05 22 10.4,19,1,12,450000.0,"[36, 37, 38, 39]","[40, 41, 41, 40]",3416.8054259358064,19.42150508639861,34.443051410150005,0.8418504183847624,37.20925593099208,24.823912922470793,0.4542597631628027,1.1603672264392157,0.009450289692810698,1.1424523851166728,0.02674680381986294,40600.973603766775,3639.7505216126665,0.3444675476672758,0.2975878070510714,,5.668829478179003,0.07858454194479991,1.009503448220741,0.00740947929557878,0.00023982037640262995,7.180277291772096e-05,0.0004772103129649522,9.940303429078177e-05,,,-0.04093591348869345,0.0073883303843116505,0.09857325583694392,0.009065406436051866,,,21.59616204799115,30.380078031329717,,10.43,0.004,11.716,0.009
522_B,83.81787499999999,-5.369555555555555,05 35 16.29,-05 22 10.4,19,1,12,450000.0,"[36, 37, 38, 39]","[40, 41, 41, 40]",3140.710959299925,42.11734467032693,22.28426799852405,1.156228842808673,36.44903707777261,24.063694069251323,0.6183947750007306,1.1165319437633379,0.01666512243804097,1.1960694158106444,0.05325991389321494,88217.34144779242,8321.752647230125,0.9604648105689702,0.814707774560368,,6.355541311060433,0.09284753663221279,1.0004449979579202,0.0004413076023529472,0.00014101789560248834,4.928364442970247e-05,0.00024099856677631216,6.665727240839797e-05,,,0.13104754223147597,0.014964884725799044,0.1377155048967931,0.015203079511759053,,,12.584050847513033,20.06595217712247,,10.43,0.004,11.716,0.009
145,83.81629166666664,-5.404972222222223,05 35 15.91,-05 24 17.9,19,1,12,600000.0,"[42, 43, 44, 45]","[40, 41, 41, 40]",3532.441091686424,329.966343603337,16.12533211890013,7.072285773908823,37.85341060904571,25.331904183142157,2.6262311340779583,1.0777765968432484,0.05322377814893686,0.6688481113192697,0.16451670925534734,117494.33568732832,56652.33592974513,0.9138435091923276,0.7925619677411313,,7.72278861224983,1.5112270990557546,1.000545577522958,0.0006405845966110935,0.05187048310503661,0.06039976153858343,0.04887617502697017,0.01286676676299075,,,0.01623024583193218,0.15009774063405307,0.13487100503149554,0.08165810450737958,,,2.033898129745068,4.654825096848601,,12.932,0.017,13.724,0.014
202,83.81666666666665,-5.398055555555556,05 35 16.00,-05 23 53.0,19,1,12,120000.0,"[46, 47, 48, 49]","[50, 51, 51, 50]",3395.8034707664488,25.19453671360634,40.760353018241105,1.0064836630069998,38.58631668397305,25.943923963145814,0.696783137060855,1.031178326373988,0.00891637540522594,1.1058668441554484,0.022453489413907346,81793.50176597877,6351.944608388847,0.7055203705432447,0.6088797986385283,,5.436177088649369,0.09331396692464633,1.1418673825507017,0.013251328364495274,0.5706247562148681,0.2034892503469277,1.2414474527029773,0.2698156552195272,,,-0.4545683132787004,0.007666186761977584,0.08039595542969834,0.008950398360207286,,,27.162017007951324,36.35957600989816,,9.002,0.007,9.807,0.006
188,83.83174999999999,-5.39925,05 35 19.62,-05 23 57.3,19,1,12,600000.0,"[52, 53, 54, 55]","[50, 51, 51, 50]",3430.26147956347,21.097026264232227,6.951538549637266,0.8831992875088241,41.94409763735502,29.211085813937547,0.2040647665481572,1.0387355605468254,0.014008600040796293,1.293015649493288,0.057144775798066316,251.3766467290145,264.73106042140444,0.0021112144216993384,0.0018241026185025727,,5.304613094138158,0.1543302599423968,1.1784609608091374,0.013740388267252213,0.08050010024604798,0.05405049175332349,0.4258818650276307,0.09330068130306225,,,-0.3907576371928679,0.014383519345690488,0.06266778930629498,0.013598461845443735,,,9.562057715863068,19.01452231665905,,11.594,0.004,11.797,0.003
302,83.81133333333332,-5.389694444444445,05 35 14.72,-05 23 22.9,19,1,13,450000.0,"[41, 42, 43, 44]","[39, 40, 40, 39]",3572.8526442286125,15.237820191958235,14.207222939810562,0.4501887498519759,41.93608498317924,29.201079962869503,0.18749763401000763,1.279562306770832,0.00916178777765142,0.7280197326447432,0.01195998288464073,71659.79323755467,3497.0335205472875,0.541649969206805,0.4700963132760631,,5.425355854916093,0.03469382917966346,1.087374992932239,0.013301422588951395,0.5104121463040787,0.11297759690254437,0.6997075929059311,0.14260881492501473,,,0.0011600512422146013,0.0051804327961042455,-0.13764301168367174,0.008084330462275052,,,33.62322200193336,33.726904292978716,,10.541,0.003,11.422,0.004
