molecule,isotope,frequency,intensity,einstein_a,air_halfwidth,self_halfwidth,lower_energy,t_exponent,p_shift,upper_global,lower_global,upper_local,lower_local,err1,err2,err3,err4,err5,err6,ref1,ref2,ref3,ref4,ref5,ref6,mixing_flag,upper_weight,lower_weight
5,3,4245.2575,1.46e-27,0.6077,0.042,0.041,2171.0152,0.67,0,              2,              0,,     R 34,4,6,6,6,2,0,2,2,2,2,1,0,,71,69
5,2,4246.069,1.127e-25,0.5901,0.0441,0.043,1594.8053,0.67,0,              2,              0,,     R 29,4,6,6,6,2,0,2,2,2,2,1,0,,122,118
5,4,4246.1567,2.144e-33,1.961,0.042,0.041,4855.7938,0.67,0,              3,              1,,     R 38,4,6,6,2,2,0,2,2,2,2,1,0,,474,462
5,4,4246.4595,9.821e-25,0.5304,0.0567,0.062,247.2618,0.74,0,              2,              0,,     R 11,4,6,7,6,6,0,2,2,2,2,1,0,,150,138
5,3,4246.4937,8.142e-28,0.6121,0.042,0.041,2298.2335,0.67,0,              2,              0,,     R 35,4,6,6,2,2,0,2,2,2,2,1,0,,73,71
5,4,4247.0679,1.101e-33,1.973,0.042,0.041,4999.2724,0.67,0,              3,              1,,     R 39,4,6,6,2,2,0,2,2,2,2,1,0,,486,474
5,1,4247.386,2.496e-25,1.673,0.0567,0.062,2394.6279,0.74,0,              3,              1,,     R 11,4,6,7,6,6,0,2,2,2,2,1,0,,25,23
5,2,4247.6543,6.881e-26,0.595,0.0436,0.043,1704.4802,0.67,0,              2,              0,,     R 30,4,6,6,6,2,0,2,2,2,2,1,0,,126,122
5,3,4247.6601,4.461e-28,0.6168,0.042,0.041,2429.03,0.67,0,              2,              0,,     R 36,4,6,6,2,2,0,2,2,2,2,1,0,,75,73
5,4,4247.9061,5.562e-34,1.989,0.042,0.041,5146.3567,0.67,0,              3,              1,,     R 40,4,6,6,2,2,0,2,2,2,2,1,0,,498,486
5,1,4248.3176,1.831e-21,0.6049,0.0709,0.079,23.0695,0.74,-0.00413,              2,              0,,     P  3,4,6,7,6,6,3,2,3,2,2,1,1,,5,7
5,4,4248.6713,2.755e-34,2.002,0.042,0.041,5297.0412,0.67,0,              3,              1,,     R 41,4,6,6,2,2,0,2,2,2,2,1,0,,510,498
5,3,4248.7566,2.4e-28,0.6214,0.042,0.041,2563.4,0.67,0,              2,              0,,     R 37,4,6,6,2,2,0,2,2,2,2,1,0,,77,75
5,2,4249.17,4.122e-26,0.5996,0.043,0.042,1817.7688,0.67,0,              2,              0,,     R 31,4,6,6,6,2,0,2,2,2,2,1,0,,130,126
5,4,4249.3207,8.601e-25,0.5358,0.0561,0.061,292.1967,0.73,0,              2,              0,,     R 12,4,6,7,6,6,0,2,2,2,2,1,0,,162,150
5,4,4249.3633,1.342e-34,2.018,0.042,0.041,5451.3203,0.67,0,              3,              1,,     R 42,4,6,6,2,2,0,2,2,2,2,1,0,,522,510
5,3,4249.7829,1.268e-28,0.626,0.042,0.041,2701.3386,0.67,0,              2,              0,,     R 38,4,6,6,2,2,0,2,2,2,2,1,0,,79,77
5,4,4249.9819,6.418e-35,2.033,0.042,0.041,5609.188,0.67,0,              3,              1,,     R 43,4,6,6,2,2,0,2,2,2,2,1,0,,534,522
5,1,4250.2745,2.179e-25,1.69,0.0561,0.061,2440.3062,0.73,0,              3,              1,,     R 12,4,6,7,6,6,0,2,2,2,2,1,0,,27,25
5,4,4250.5271,3.014e-35,2.047,0.042,0.041,5770.6386,0.67,0,              3,              1,,     R 44,4,6,6,2,2,0,2,2,2,2,1,0,,546,534
