mass_2myr,mass_1myr,mass_3myr,teff_2myr,teff_1myr,teff_3myr,logg_2myr,logg_1myr,logg_3myr,logL_2myr,logL_1myr,logL_3myr
4.3118634,4.30729,4.3028545,20449.575632394328,20238.31261322212,20033.43863181421,4.3095381,4.305064,4.300655,4.3084117,4.3039559,4.2995673
-1.202053,-0.8077009,-0.7118464,0.0755949701704449,0.17635460316479995,0.202469262064552,-0.9878871,-0.7697084,-0.6729849,-0.883594,-0.7679236,-0.6508148
-0.6272031,-0.5234665,-0.414201,0.24979072010345993,0.31920978818362783,0.40793521744350525,-0.576844,-0.4678623,-0.365341,-0.5503945,-0.4400692,-0.3415275
-0.3182149,-0.2280618,-0.1446736,0.5066294133591065,0.6216884515313723,0.7495116712738589,-0.2725985,-0.1853669,-0.1062499,-0.2501483,-0.1647679,-0.0875516
-0.0667828,0.0062368,0.0712456,0.895706652966954,1.054680217301733,1.2203019352213518,-0.0293148,0.0395597,0.1015077,-0.0111777,0.0555176,0.1161701
0.1376886,0.2670591,0.3827669,1.4870593431949455,1.9821713745506169,2.572798062418042,0.2055654,0.3263498,0.4370777,0.2360452,0.3549011,0.4635805
0.4898443,0.583047,0.6908698,3.281292909043469,4.068630964584031,5.2415689128416805,0.5421614,0.6361485,0.7483793,0.5568356,0.6632365,0.7786582
0.8103254,0.9605543,1.2076289,6.978109820007188,10.199991268666553,19.555413339726567,0.8793908,1.06425,1.3737592,0.9179896,1.1302934,1.4544794
1.5366182,1.8920789,2.2220212,41.90187915353814,96.0801782261066,173.97309913327842,1.7124678,2.0723239,2.1767044,1.8031051,2.1559431,2.106567
2.0950102,2.3221304,2.3309957,135.52256099261447,227.13664154850244,222.79564633173598,2.1875451,2.3352642,2.3650182,2.2519872,2.3185534,2.3840282
2.4036929,2.480342,2.5528757,265.0297946086082,315.3814895358293,371.7933349392281,2.4426176,2.5170874,2.587763,2.4616191,2.5350905,2.6048167
2.6218624,2.6875984,2.7506757,435.10692959139305,505.3765659031596,583.4375811030501,2.6551361,2.7194138,2.7811458,2.6714056,2.7351846,2.7960899
2.8109248,2.8687305,2.9242151,669.2742252555206,763.5088932038665,866.4505864390549,2.8401295,2.8967533,2.9511404,2.8545041,2.9105526,2.9644066
-1.173667,-0.7155171,-0.3811295,0.0815033950889635,0.23930259051850952,0.47800825856772344,-0.9436042,-0.5387086,-0.2732858,-0.8214357,-0.4673166,-0.2449594
-0.2436316,-0.2120132,-0.1319714,0.5648405926096367,0.6408206527452995,0.7737181772146225,-0.2409131,-0.1730195,-0.0907769,-0.2280903,-0.1524622,-0.0697481
-0.0485947,0.0349011,0.1126841,0.9386945578082939,1.1348508832514201,1.3536625062836494,-0.0064673,0.0744435,0.1500485,0.0142988,0.0937016,0.1682378
0.1870601,0.2529191,0.3119331,1.600723054738671,1.8543239175914736,2.1176725150022517,0.2210098,0.2830779,0.3397244,0.2372454,0.2976183,0.3532769
0.3732491,0.4921423,0.5938991,2.542312893398442,3.3039000460763224,4.145974245886743,0.4358768,0.5449111,0.6395386,0.4641039,0.5698275,0.6607694
0.6813237,0.7515105,0.8254572,5.02913159782705,5.892897674758159,6.974418441169541,0.7213313,0.7889073,0.861487,0.7323853,0.8072645,0.8794038
