_RAJ2000,_DEJ2000,_r,m_ID,ID,Nvis,RAJ2000,DEJ2000,SNR,SaFlag,HRV,e_HRV,s_HRV,errHRV,f_Teff,Teff,e_Teff,f_logg,logg,e_logg,f_Vmicro,Vmicro,Vmacro,f_Vsini,Vsini,f_[M/H],[M/H],e_[M/H],f_[a/M],[a/M],e_[a/M],Chi2,TClass,AFlag,f_[C/Fe],[C/Fe],e_[C/Fe],f_[CI/Fe],[CI/Fe],e_[CI/Fe],f_[N/Fe],[N/Fe],e_[N/Fe],f_[O/Fe],[O/Fe],e_[O/Fe],f_[Na/Fe],[Na/Fe],e_[Na/Fe],f_[Mg/Fe],[Mg/Fe],e_[Mg/Fe],f_[Al/Fe],[Al/Fe],e_[Al/Fe],f_[Si/Fe],[Si/Fe],e_[Si/Fe],f_[P/Fe],[P/Fe],e_[P/Fe],f_[S/Fe],[S/Fe],e_[S/Fe],f_[K/Fe],[K/Fe],e_[K/Fe],f_[Ca/Fe],[Ca/Fe],e_[Ca/Fe],f_[Ti/Fe],[Ti/Fe],e_[Ti/Fe],f_[TiII/Fe],[TiII/Fe],e_[TiII/Fe],f_[V/Fe],[V/Fe],e_[V/Fe],f_[Cr/Fe],[Cr/Fe],e_[Cr/Fe],f_[Mn/Fe],[Mn/Fe],e_[Mn/Fe],f_[Fe/H],[Fe/H],e_[Fe/H],f_[Co/Fe],[Co/Fe],e_[Co/Fe],f_[Ni/Fe],[Ni/Fe],e_[Ni/Fe],f_[Cu/Fe],[Cu/Fe],e_[Cu/Fe],f_[Ce/Fe],[Ce/Fe],e_[Ce/Fe],Gaia,Sp
83.48134,-5.43266389,0.338967,1,2M05335552-0525575,1,83.48134,-5.432664,49.1669,512,27.285801,0.081149,0.0,0.081149,4,,,4,,,260,0.318295,1.0,4,15.58835,4,,,4,,,1.75938,GKd_d,8391296,4,,,4,,,260,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=I/345/gaia2&Source=4611,http://vizier.u-strasbg.fr/viz-bin/https://dr16.sdss.org/infrared/spectrum/view/stars?apogee_id=%-18s             &location_id=4611
83.48637389,-5.35943,0.33208,2,2M05335672-0521339,3,83.486374,-5.35943,46.9025,512,27.6294,0.054144,0.805219,0.076131,4,,,4,,,4,0.90707,1.0,4,20.59207,4,,,4,,,1.17549,Md_d,8391296,4,,,4,,,260,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=I/345/gaia2&Source=4611,http://vizier.u-strasbg.fr/viz-bin/https://dr16.sdss.org/infrared/spectrum/view/stars?apogee_id=%-18s             &location_id=4611
83.48637389,-5.35943,0.33208,2,2M05335672-0521339,3,83.486374,-5.35943,78.5474,0,25.927,0.061515,0.0,0.061515,4,,,4,,,4,1.028118,1.0,4,21.96848,4,,,4,,,1.88643,Md_b,8389248,4,,,4,,,261,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=I/345/gaia2&Source=4611,http://vizier.u-strasbg.fr/viz-bin/https://dr16.sdss.org/infrared/spectrum/view/stars?apogee_id=%-18s             &location_id=4612
83.50144111,-5.59540389,0.37829,2,2M05340034-0535434,7,83.501441,-5.595404,194.685,0,20.083799,0.01309,0.103252,0.032045,512,4284.233,78.543,67108864,4.3387,0.1064,0,0.995403,1.0,0,6.36063,0,-0.093833,0.0094007,0,0.002638,0.004209,5.09882,GKd_d,0,0,-0.034176,0.008051,0,-0.191948,0.022624,0,-0.090214,0.046539,0,-0.004767,0.010402,512,,,0,-0.130699,0.011672,0,-0.084277,0.020778,0,-0.152439,0.010012,512,,,512,,,0,0.013569,0.018147,0,0.069718,0.012031,0,-0.031921,0.019604,512,,,512,,,0,0.140087,0.032775,0,-0.054892,0.022393,0,-0.075563,0.01012,0,-0.456692,0.108669,0,-0.047156,0.0201,0,0.160014,0.050503,512,,,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=I/345/gaia2&Source=4612,http://vizier.u-strasbg.fr/viz-bin/https://dr16.sdss.org/infrared/spectrum/view/stars?apogee_id=%-18s             &location_id=5249
83.50144111,-5.59540389,0.37829,2,2M05340034-0535434,7,83.501441,-5.595404,101.917,512,20.244301,0.028577,0.0,0.028577,4,,,4,,,260,0.349559,1.0,4,6.47351,4,,,4,,,3.2762,GKd_d,8388608,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=I/345/gaia2&Source=5249,http://vizier.u-strasbg.fr/viz-bin/https://dr16.sdss.org/infrared/spectrum/view/stars?apogee_id=%-18s             &location_id=4611
83.50907,-5.60542194,0.377669,1,2M05340217-0536195,1,83.50907,-5.605422,164.09,512,25.9018,0.047807,0.0,0.047807,4,,,261,,,4,0.633461,3.975855,65540,,4,,,4,,,22.5113,GKg_d,75498624,4,,,4,,,261,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=I/345/gaia2&Source=4611,http://vizier.u-strasbg.fr/viz-bin/https://dr16.sdss.org/infrared/spectrum/view/stars?apogee_id=%-18s             &location_id=4612
83.51189,-5.60943,0.377724,1,2M05340285-0536339,1,83.51189,-5.60943,163.801,0,72.651001,0.006216,0.0,0.006216,4,,,4,,,4,1.483611,2.806291,65540,,4,,,4,,,7.39078,GKg_c,8389248,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,,http://vizier.u-strasbg.fr/viz-bin/https://dr16.sdss.org/infrared/spectrum/view/stars?apogee_id=%-18s             &location_id=4611
83.51251306,-5.61591111,0.381076,1,2M05340300-0536572,1,83.512513,-5.615911,197.603,0,29.1087,0.02954,0.0,0.02954,4,,,261,,,4,0.776605,3.604803,65540,,4,,,4,,,18.1217,GKg_c,75498624,4,,,4,,,261,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=I/345/gaia2&Source=4611,http://vizier.u-strasbg.fr/viz-bin/https://dr16.sdss.org/infrared/spectrum/view/stars?apogee_id=%-18s             &location_id=4611
83.515425,-5.37189389,0.302378,1,2M05340370-0522188,6,83.515425,-5.371894,116.618,0,23.4025,0.030702,0.728679,0.067003,4,,,4,,,4,1.025125,1.0,4,10.15313,4,,,4,,,4.20969,Md_b,8389248,4,,,4,,,260,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=I/345/gaia2&Source=4611,http://vizier.u-strasbg.fr/viz-bin/https://dr16.sdss.org/infrared/spectrum/view/stars?apogee_id=%-18s             &location_id=4611
83.51930111,-5.37290389,0.298473,1,2M05340463-0522224,2,83.519301,-5.372904,76.5744,0,27.179001,0.065246,1.15594,0.161897,4,,,260,,,260,0.326678,5.08109,65540,,4,,,4,,,4.30537,Mg_b,75498624,4,,,4,,,261,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=I/345/gaia2&Source=4611,http://vizier.u-strasbg.fr/viz-bin/https://dr16.sdss.org/infrared/spectrum/view/stars?apogee_id=%-18s             &location_id=4612
83.52481694,-5.37877611,0.292759,3,2M05340595-0522435,8,83.524817,-5.378776,298.538,0,26.788601,0.019487,0.43922,0.049627,4,,,261,,,4,0.54255,5.408881,65540,,4,,,4,,,13.213,Mg_b,8388608,4,,,4,,,261,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=I/345/gaia2&Source=4612,http://vizier.u-strasbg.fr/viz-bin/https://dr16.sdss.org/infrared/spectrum/view/stars?apogee_id=%-18s             &location_id=5249
83.52481694,-5.37877611,0.292759,3,2M05340595-0522435,8,83.524817,-5.378776,103.992,512,27.819401,0.042575,0.0,0.042575,4,,,4,,,260,0.311674,1.0,4,12.84695,4,,,4,,,5.2592,Md_d,8388608,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=I/345/gaia2&Source=5249,http://vizier.u-strasbg.fr/viz-bin/https://dr16.sdss.org/infrared/spectrum/view/stars?apogee_id=%-18s             &location_id=4611
83.52481694,-5.37877611,0.292759,3,2M05340595-0522435,8,83.524817,-5.378776,100.098,512,26.897499,0.04595,0.0,0.04595,4,,,261,,,260,0.37028,4.949954,65540,,4,,,4,,,5.69849,Mg_d,8388608,269,,,2317,,,2317,,,2317,,,2317,,,2317,,,2317,,,2317,,,2317,,,2317,,,2317,,,2317,,,2317,,,2317,,,2317,,,2317,,,2317,,,2317,,,2317,,,2317,,,2317,,,2317,,,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=I/345/gaia2&Source=4611,http://vizier.u-strasbg.fr/viz-bin/https://dr16.sdss.org/infrared/spectrum/view/stars?apogee_id=%-18s             &location_id=4612
