RAJ2000,DEJ2000,_2MASS,Gaia,more,Nep,Teff,e_Teff,logg,e_logg,l_RVmean,RVmean,e_RVmean,Fbol,e_Fbol,Av,e_Av
79.7381973266602,-2.93464207649231,b'2M05185716-0256047',3213973338118132224,b'*',1,6430.0,468.247,4.39748,0.154424,b'<',4.05315,0.0,10.167607,0.341746,0.2,0.05
84.546012878418,-2.93384313583374,b'2M05381104-0256018',3216052136649173248,b'*',3,3976.8,8.55528,4.02789,0.0429999,b' ',30.3026,0.364401,1.028346,0.043294,0.95,0.3
81.5482025146484,-2.9327290058136,b'2M05261156-0255578',3211031835276463488,b'*',2,4037.48,13.6644,5.15303,0.047584,b' ',7.028,0.144462,1.232673,0.104859,1.15,0.35
84.3702163696289,-2.93210697174072,b'2M05372885-0255555',3216098380561141504,b'*',1,5471.11,57.9346,4.03101,0.104169,b' ',84.9855,0.191,7.89988,0.363164,1.35,0.0
85.662239074707,-2.92895698547363,b'2M05423893-0255442',3216219434214855552,b' ',1,5524.75,50.6381,3.99812,0.0863273,b' ',40.5431,0.17898,8.756823,0.795646,4.5,0.0499997
84.8508682250977,-2.92459893226623,b'2M05392420-0255285',3216044096470341888,b'*',4,6665.15,334.837,5.40556,0.0948616,b' ',-115.87,0.227852,4.425315,0.089852,2.15,0.0
84.4830856323242,-2.92168807983398,b'2M05375593-0255180',3216053098721856256,b'*',3,3887.23,13.1285,4.43403,0.0515817,b' ',22.7728,0.361981,0.436993,0.025328,0.15,0.15
84.6307525634766,-2.91755890846252,b'2M05383138-0255032',3216052445886802048,b'*',1,7067.51,429.751,4.79811,0.130472,b' ',29.8288,0.489812,17.023611,0.572185,0.25,0.05
84.4908065795898,-2.91671395301819,b'2M05375779-0255001',3216053098721854464,b'*',3,5352.37,44.9678,4.15526,0.0720328,b' ',76.3203,0.151188,1.284384,0.075167,1.35,0.0
85.1739501953125,-2.91481995582581,b'2M05404174-0254533',3216229089300256512,b'*',5,5678.58,59.1878,3.8621,0.111615,b' ',31.0726,0.97586,1.865617,0.180143,1.05,0.2
85.0833435058594,-2.91108512878418,b'2M05402000-0254399',3216415456522860800,b'*',5,4371.63,12.0216,3.25218,0.0443565,b' ',55.744,0.114991,0.585179,0.05378,1.7,0.5
84.16162109375,-2.90545105934143,b'2M05363878-0254196',3216079418281280896,b'*',4,3969.71,10.4998,4.67933,0.0472911,b' ',23.1887,0.205082,0.525825,0.031385,0.85,0.35
82.0344619750977,-2.90336203575134,b'2M05280827-0254121',3210977787408114048,b'*',1,6662.13,698.056,4.94617,0.206233,b'<',1.0013,0.0,8.724261,0.0,1.65,0.05
84.5883026123047,-2.90308094024658,b'2M05382119-0254110',3216052686404975360,b' ',6,2969.74,8.93321,3.97305,0.0541341,b' ',32.28,0.144823,0.0,0.0,0.0,0.0
85.0846939086914,-2.90230703353882,b'2M05402032-0254083',3216416208144813696,b'*',1,5626.98,61.8448,4.40398,0.092625,b' ',-2.743,0.173733,6.045271,0.439507,2.2,0.0999999
84.4444580078125,-2.90209889411926,b'2M05374667-0254075',3216098694094673920,b'*',4,6446.17,420.076,5.33571,0.110401,b' ',39.338,0.273353,2.448107,0.040632,0.95,0.0500001
