ID,_RAJ2000,_DEJ2000,pmRA,e_pmRA,pmDE,e_pmDE,Ndet,Dt,F139,Note
193,83.8141751,-5.35388171,-0.15,0.18,-1.78,0.35,3,16.4,11.82,
194,83.85276059,-5.37850273,-0.26,0.12,-0.13,0.03,3,16.3,12.72,
195,83.75458259,-5.37818152,-0.53,0.01,-3.02,0.11,4,10.4,15.1,
196,83.76167493,-5.36734857,-0.45,0.09,-1.65,0.23,5,11,15.67,
197,83.81627344,-5.39388968,1.7,0.4,-3.85,1.18,4,16.4,13.53,
198,83.82278247,-5.38917703,1.07,0.86,3.21,0.2,3,14,10.98,
199,83.8194206,-5.39136065,-0.06,0.88,-1.73,0.01,4,10.5,15.12,
200,83.81568392,-5.39399906,1.81,0.43,-2.83,0.2,7,19.3,13.86,
201,83.81074788,-5.39741651,0.6,0.01,0.3,0.05,3,10,15.24,
202,83.82388883,-5.38745602,1.18,0.37,2.03,0.29,4,10.4,13.77,
203,83.81467413,-5.39372317,0.46,0.11,1.86,0.12,5,19.9,12.84,
204,83.82615935,-5.38539259,-0.32,0.09,1.96,0.26,5,16.3,13.01,
205,83.81699867,-5.39105664,0.15,0.15,0.17,0.01,4,19.3,14.57,
206,83.81408485,-5.39260523,-0.72,0.24,0.87,0.12,6,19.9,12.07,
207,83.80574143,-5.39810004,0.79,0.29,0.66,0.16,4,16.3,14.2,
208,83.8169628,-5.39011108,0.51,0.07,-4.54,3.05,3,19.3,14.85,
209,83.80547426,-5.39806406,-3.77,0.48,1.14,0.19,6,16.3,14.77,
210,83.81582052,-5.39071469,1.3,0.51,1.68,0.07,3,19.3,11.89,
211,83.81603864,-5.3904368,1.1,0.45,-1.63,0.07,4,19.3,12.94,
212,83.81925249,-5.38781592,0.16,0.61,-2.3,0.3,3,16.3,11.71,
213,83.8176376,-5.38864204,-1.5,0.38,-1.57,0.26,3,10.4,13.69,
214,83.82239024,-5.38469481,0.33,0.42,-1.79,0.22,5,16.3,13.76,
215,83.82435653,-5.38282025,1.31,0.13,0.16,0.16,6,17,15.79,
216,83.814015,-5.39003036,1.12,0.43,-1.11,0.41,4,19.3,15.07,
217,83.8202859,-5.38530012,0.51,0.16,-0.43,0.17,5,16.3,13.89,
218,83.81375537,-5.3897681,-1.93,0.27,0.54,0.21,3,19.3,13.68,
219,83.81109058,-5.39129849,0.11,0.11,0.51,0.36,3,19.3,14.78,
220,83.81337665,-5.38855479,-0.44,0.14,1.63,0.17,3,19.3,13.61,
221,83.81135465,-5.38968905,-0.24,0.4,0.71,0.13,5,19.3,12.12,
222,83.82354787,-5.38101865,-1.55,0.14,-0.31,0.15,5,16.4,13.67,
223,83.7988613,-5.39769402,1.07,0.08,1.49,0.45,6,19.2,13.71,
224,83.81001379,-5.38972753,0.62,0.18,3.39,0.01,3,19.3,14.3,
225,83.82042923,-5.38195516,-0.76,0.08,0.1,0.14,6,17,14.32,
226,83.81181321,-5.38777713,0.7,0.55,-1.87,0.04,5,19.3,12.79,
227,83.81616478,-5.38387595,0.01,0.74,-0.46,0.09,4,16.3,11.13,
228,83.80802603,-5.38893244,-1.1,0.95,-0.27,0.45,3,13.2,13.45,
229,83.81727095,-5.38202692,-0.46,0.07,-0.3,0.38,6,17,13.91,
230,83.81500224,-5.38302581,0.17,0.17,-0.41,0.78,5,16.3,13.31,
231,83.81197604,-5.38474554,-0.23,0.39,-1.92,0.22,4,16.4,12.59,
232,83.81169567,-5.38465327,-4.33,0.18,1.07,0.25,6,16.4,15.21,
233,83.81267597,-5.38360405,0.72,0.14,0.73,0.11,5,16.4,15.13,
234,83.80964291,-5.38564217,-0.69,0.84,-1.17,0.31,5,19.5,12.57,
235,83.81055649,-5.38433657,-1.28,0.07,1.02,0.17,5,20.1,14.75,
236,83.81111494,-5.38384457,1.17,0.69,-0.94,0.35,5,16.4,12.44,
237,83.8099674,-5.38215068,2.24,0.2,-0.57,0.09,8,20.1,13.94,
238,83.8063457,-5.38457763,1.26,0.57,-0.1,0.23,5,13.2,13.43,
239,83.80986019,-5.38168527,1.56,0.15,1.14,0.31,9,20.1,12.56,
240,83.81123655,-5.38039777,0.6,0.13,-0.98,0.12,7,11,14.06,
241,83.81619415,-5.37588428,0.24,0.15,1.21,0.17,6,16.4,13.37,
242,83.80535746,-5.38273749,-1.26,0.39,0.23,0.06,5,19.4,13.56,
