APOGEE_ID,PM_ID,_RAJ2000,_DEJ2000,rv,rv_e,pmRA,pmRA_e,pmDE,pmDE_e,teff,teff_e,vsini,vsini_e,veiling,Jmag,Jmag_e,Hmag,Hmag_e,Kmag,Kmag_e,Gaia
2M05351722-0520277,529,83.82175,-5.34102778,24.01,1.76,-0.22,0.09,-0.27,0.12,3812.67,11.91,13.15,1.46,0.82,11.633,0.045,10.855,0.05,10.33,0.049,3017365918755884672
2M05351734-0522357,,83.82225,-5.37658333,28.46,2.12,,,,,4504,71,32.52,2.03,1,10.257,0.05,9.227,0.046,8.521,0.044,
2M05351736-0520149,505,83.82233333,-5.33747222,27.15,0.44,-0.71,0.16,-0.31,0.12,4078.6,11.35,7.13,0.85,0.64,12.558,0.035,11.407,0.037,10.96,0.032,3017365953115821568
2M05351736-0525446,619,83.82233333,-5.42905556,27.12,0.4,0.93,0.1,0.24,0.1,4098.05,10.5,8.37,1.64,0.47,11.116,,10.58,0.08,10.23,0.033,3017360897927766016
2M05351754-0525427,618,83.82308333,-5.42852778,24.34,0.25,-1,0.15,-0.39,0.17,4185.24,10.9,23.47,0.32,0.57,11.304,,10.914,0.041,10.078,0.064,3017360902234944000
2M05351778-0523155,183,83.82408333,-5.38763889,25.69,0.55,-1.61,0.17,0.6,0.38,4098.62,13.74,18.31,0.61,0.53,9.746,,9.649,0.021,9.615,9.998,3017364059023821696
2M05351794-0525061,440,83.82475,-5.41836111,31.16,19.24,-0.19,0.28,-1.11,0.43,2739.27,172.56,17.45,117.44,0.87,12.024,0.176,12.1,0.242,11.144,0.183,
2M05351794-0525338,453,83.82475,-5.42605556,26.73,0.5,0.5,0.04,1.11,2.8,3638.9,8.83,27.37,0.38,0.73,12.269,0.062,11.399,0.082,11.097,0.04,3017360902234838528
2M05351797-0526506,,83.824875,-5.44738889,25.16,0.32,,,,,2961,14,7.41,0.63,0.51,13.306,0.048,12.374,0.045,11.723,0.032,3017360318119414784
2M05351820-0524302,112,83.82583333,-5.40838889,25.21,1.62,0.79,0.19,2.27,0.12,2858.1,13.45,39.54,0.91,0.75,12.467,,12.253,0.085,11.819,0.061,3017361005314028800
2M05351836-0524267,88,83.8265,-5.40741667,25.5,0.26,-1,0.31,0.31,0.1,3120.85,10.14,2.44,1.38,0.9,12.684,,11.659,0.072,11.167,0.051,3017361005306706688
2M05351846-0524068,506,83.82691667,-5.40188889,27.13,0.21,-0.17,0.42,0.43,0.17,3849.71,9.16,19.76,0.22,0.84,11.925,,10.872,0.053,10.304,0.037,3017361001006985216
2M05351851-0520427,119,83.827125,-5.34519444,31.06,1.62,-1.7,0.12,0.6,0.22,3685.33,15.17,50.66,0.6,0.73,12.763,0.034,11.526,0.033,10.995,0.018,3017365850036797824
2M05351858-0526248,,83.82741667,-5.44022222,24.92,7.93,,,,,3832,102,3.11,28.24,1.36,14.613,0.056,12.449,0.033,11.209,0.018,
2M05351866-0523139,,83.82775,-5.38719444,31.91,0.28,,,,,5103,5,39.12,1.17,1.21,10.507,,9.201,0.036,7.635,0.02,3017364059023825280
2M05351884-0522229,20,83.8285,-5.37302778,23.73,0.91,0.14,0.2,-0.04,0.15,3721.33,235.56,15.83,7.06,1.58,12.121,,11.64,0.067,10.692,0.073,3017364162103041536
2M05351894-0520522,549,83.82891667,-5.34783333,24.41,0.15,1.72,0.29,-0.99,0.15,4035.02,13.79,11.85,1.22,2.06,12.848,0.02,11.439,0.029,10.624,0.024,3017365850036801024
2M05351906-0523495,148,83.82941667,-5.39708333,45.52,1.25,1.86,0.36,-1.37,1.24,4429.27,17.62,53.25,3.39,0.83,13.007,,11.201,0.03,10.311,0.018,3017361108392968064
2M05351913-0520387,,83.82970833,-5.34408333,37.94,8.57,,,,,6996,4,299.17,0.99,0.47,10.04,0.02,9.58,0.033,9.202,0.018,3017365880089961728
2M05351930-0520078,,83.83041667,-5.3355,32.9,1.78,,,,,6273,91,117.19,10.98,0.75,10.828,0.024,9.711,0.031,9.04,0.023,3017365953115811968
2M05351965-0524266,573,83.831875,-5.40738889,23.19,0.2,0.33,0.34,-0.29,0.09,3946.35,9.24,18.18,0.34,1.1,10.896,0.156,9.972,0.042,9.269,0.029,3017361001006988416
2M05352004-0521059,,83.8335,-5.35163889,37.13,0.21,,,,,4437,7,48.9,0.42,0.27,10.594,0.026,9.403,0.035,8.71,0.029,3017365850036800896
