APOGEE_ID,ID_kim,_RAJ2000,_DEJ2000,rv,rv_e,pmRA,pmRA_e,pmDE,pmDE_e,teff,teff_e,vsini,vsini_e,veiling,note
2M05351587-0522328,241,83.81612500,-5.37577778,30.63,1.45,0.24,0.15,1.21,0.17,3022.39,39.10,8.83,1.63,1.35,
2M05351606-0520363,517,83.81691667,-5.34341667,23.56,0.22,0.55,0.25,1.44,0.24,4163.85,8.74,16.04,1.49,0.83,
2M05351609-0524112,173,83.81704167,-5.40311111,23.01,0.24,-1.73,0.13,-0.79,0.12,3463.66,13.22,33.20,0.69,0.90,
2M05351661-0519357,,83.81920833,-5.32658333,28.54,0.36,,,,,4098,11,19.85,0.33,0.94,
2M05351671-0522309,175,83.81962500,-5.37525000,29.02,0.28,0.65,0.11,1.33,0.18,3659.32,26.94,11.82,1.24,1.99,
2M05351694-0525469,451,83.82058333,-5.42969444,29.40,0.37,0.31,0.04,-0.91,0.06,3660.92,13.75,54.77,1.18,0.95,
2M05351697-0521452,,83.82070833,-5.36255556,47.39,3.56,,,,,6998,2,299.48,0.88,0.10,
2M05351697-0523009,560,83.82070833,-5.38358333,33.28,0.30,0.78,0.13,1.15,0.04,4228.79,6.23,29.65,0.73,0.59,
2M05351712-0524585,331,83.82133333,-5.41625000,26.60,0.25,-0.80,0.29,-0.85,0.07,3023.52,7.83,15.66,0.29,0.39,
2M05351722-0520277,529,83.82175000,-5.34102778,24.01,1.76,-0.22,0.09,-0.27,0.12,3812.67,11.91,13.15,1.46,0.82,
2M05351734-0522357,,83.82225000,-5.37658333,28.46,2.12,,,,,4504,71,32.52,2.03,1.00,
2M05351736-0520149,505,83.82233333,-5.33747222,27.15,0.44,-0.71,0.16,-0.31,0.12,4078.60,11.35,7.13,0.85,0.64,
2M05351736-0525446,619,83.82233333,-5.42905556,27.12,0.40,0.93,0.10,0.24,0.10,4098.05,10.50,8.37,1.64,0.47,C
2M05351754-0525427,618,83.82308333,-5.42852778,24.34,0.25,-1.00,0.15,-0.39,0.17,4185.24,10.90,23.47,0.32,0.57,
2M05351778-0523155,183,83.82408333,-5.38763889,25.69,0.55,-1.61,0.17,0.60,0.38,4098.62,13.74,18.31,0.61,0.53,C
2M05351794-0525061,440,83.82475000,-5.41836111,31.16,19.24,-0.19,0.28,-1.11,0.43,2739.27,172.56,17.45,117.44,0.87,
2M05351794-0525338,453,83.82475000,-5.42605556,26.73,0.50,0.50,0.04,1.11,2.80,3638.90,8.83,27.37,0.38,0.73,
2M05351797-0526506,,83.82487500,-5.44738889,25.16,0.32,,,,,2961,14,7.41,0.63,0.51,
2M05351820-0524302,112,83.82583333,-5.40838889,25.21,1.62,0.79,0.19,2.27,0.12,2858.10,13.45,39.54,0.91,0.75,
2M05351836-0524267,88,83.82650000,-5.40741667,25.50,0.26,-1.00,0.31,0.31,0.10,3120.85,10.14,2.44,1.38,0.90,
