[HC2000],RAJ2000,DEJ2000,l_Kmag,Kmag,l_Hmag,Hmag,e_Kmag,e_Hmag
37,05 35 08.54,-05 25 18.1, ,11.022, ,11.265,0.001,0.002
38,05 35 18.45,-05 25 19.3, ,12.025, ,12.908,0.005,0.007
39,05 35 26.19,-05 25 20.4, ,12.01, ,12.487,0.001,0.003
40,05 35 16.59,-05 25 17.8, ,11.413, ,11.988,0.002,0.004
41,05 35 24.26,-05 25 18.7, ,9.991, ,10.484,0.001,0.003
42,05 35 14.35,-05 25 15.8, ,11.455, ,12.007,0.002,0.004
43,05 35 15.56,-05 25 14.2, ,9.041, ,9.173,0.001,0.003
44,05 35 11.73,-05 25 12.9, ,12.885, ,15.348,0.003,0.012
45,05 35 20.06,-05 25 14.3, ,11.528, ,12.349,0.003,0.005
46,05 35 15.67,-05 25 10.5, ,11.151, ,11.768,0.002,0.004
47,05 35 17.66,-05 25 10.7, ,12.264, ,13.071,0.004,0.007
48,05 35 25.54,-05 25 11.7, ,15.572, ,16.197,0.019,0.026
49,05 35 20.67,-05 25 10.8, ,12.16, ,12.631,0.003,0.005
50,05 35 16.37,-05 25 09.7, ,10.481, ,10.972,0.002,0.002
51,05 35 24.89,-05 25 10.2, ,11.634, ,12.097,0.001,0.002
52,05 35 23.99,-05 25 09.9, ,11.625, ,12.228,0.002,0.002
53,05 35 22.41,-05 25 09.5, ,11.177, ,11.429,0.002,0.002
54,05 35 19.63,-05 25 07.8, ,14.16, ,15.877,0.07,0.165
55,05 35 22.12,-05 25 07.6, ,14.103, ,14.667,0.017,0.023
56,05 35 17.94,-05 25 06.5, ,12.333, ,12.714,0.006,0.007
57,05 35 20.29,-05 25 05.6, ,14.119, ,14.325,0.02,0.012
58,05 35 22.73,-05 25 05.8, ,12.306, ,12.907,0.007,0.009
59,05 35 19.68,-05 25 05.2, ,16.286, ,16.464,0.211,0.135
60,05 35 06.55,-05 25 01.7, ,11.773, ,12.155,0.001,0.002
61,05 35 20.27,-05 25 04.1, ,11.035, ,12.27,0.003,0.005
62,05 35 10.03,-05 25 01.5, ,15.344, ,16.204,0.023,0.022
63,05 35 14.46,-05 25 02.2, ,11.163, ,11.47,0.002,0.003
64,05 35 07.06,-05 25 00.9, ,14.524, ,15.254,0.005,0.007
65,05 35 19.04,-05 25 03.0, ,12.31, ,12.583,0.011,0.008
66,05 35 18.33,-05 25 02.7, ,17.067, ,17.482,0.457,0.359
67,05 35 14.18,-05 25 00.7, ,15.066, ,17.225,0.026,0.105
68,05 35 23.15,-05 25 02.3, ,13.047, ,13.593,0.024,0.028
69,05 35 11.54,-05 25 00.0, ,13.358, ,15.355,0.004,0.012
70,05 35 25.67,-05 25 02.6, ,15.752, ,16.848,0.035,0.029
71,05 35 24.52,-05 25 01.5, ,11.438, ,11.994,0.002,0.002
72,05 35 12.25,-05 24 58.8, ,14.335, ,15.974,0.007,0.019
73,05 35 23.05,-05 25 00.2,>,10.708,>,10.719,0.009,0.012
74,05 35 12.95,-05 24 58.0, ,12.567, ,13.077,0.005,0.009
75,05 35 17.12,-05 24 58.7, ,11.243, ,11.583,0.003,0.002
76,05 35 26.40,-05 25 00.7,>,8.017,>,8.56,0.007,0.021
77,05 35 12.21,-05 24 56.5, ,10.751, ,12.61,0.001,0.003
78,05 35 16.20,-05 24 56.4, ,10.128, ,11.09,0.001,0.003
79,05 35 21.30,-05 24 57.4, ,9.83, ,9.989,0.002,0.003
80,05 35 13.21,-05 24 55.5, ,      , ,9.143,0.002,0.003
81,05 35 23.68,-05 24 57.4, ,11.277, ,11.636,0.002,0.003
82,05 35 22.89,-05 24 57.7, ,      , ,      ,0.024,0.125
83,05 35 25.22,-05 24 57.2, ,12.995, ,13.88,0.003,0.005
84,05 35 12.90,-05 24 54.4, ,13.206, ,14.903,0.016,0.041
85,05 35 07.71,-05 24 53.0, ,12.756, ,13.168,0.002,0.003
86,05 35 17.70,-05 24 54.1, ,11.341, ,11.727,0.002,0.003
87,05 35 13.13,-05 24 53.0, ,12.721, ,13.617,0.016,0.019
88,05 35 12.17,-05 24 52.2, ,15.094, ,19.998,0.059,2.274
89,05 35 23.54,-05 24 54.3, ,13.662, ,14.352,0.006,0.015
90,05 35 10.38,-05 24 51.6, ,13.013, ,13.873,0.004,0.003
91,05 35 21.99,-05 24 53.3, ,14.897, ,15.104,0.075,0.082
92,05 35 23.24,-05 24 52.9, ,13.85, ,13.972,0.028,0.055
93,05 35 10.95,-05 24 48.8, ,9.498, ,10.273,0.003,0.002
94,05 35 11.56,-05 24 48.2, ,11.851, ,13.19,0.003,0.004
95,05 35 12.12,-05 24 48.0, ,15.917, ,      ,0.031,
96,05 35 19.84,-05 24 48.0, ,11.14, ,11.624,0.002,0.003
97,05 35 20.63,-05 24 46.5, ,9.569, ,10.315,0.002,0.002
98,05 35 17.74,-05 24 43.8, ,12.162, ,12.677,0.006,0.006
99,05 35 06.53,-05 24 41.5, ,10.413, ,10.702,0.001,0.002
