mass,teff_2myr,teff_1myr,teff_3myr,logg_2myr,logg_1myr,logg_3myr,logL_2myr,logL_1myr,logL_3myr
0.36,3500.5462155142664,3521.11417210676,3492.8590593325575,3.7463411352318565,3.520683526542348,3.8701764817682025,-0.6207039095817222,-0.384869072143976,-0.7483583064543426
0.37,3517.536118716677,3539.8439973905774,3509.0324038503245,3.7501088310014237,3.5266599194786687,3.873198745372195,-0.604161386381351,-0.3697301835982851,-0.7314560822759743
0.38,3534.284657702323,3558.601182000433,3524.9080173168522,3.7539028703853385,3.5325420974494675,3.876204846040958,-0.5881217173199011,-0.3548497101692068,-0.7150386744809772
0.39,3550.9291927069153,3577.5508864330354,3540.4712986413033,3.757789394472845,3.5383536926647587,3.8793177940580614,-0.5725652868329795,-0.3401542944065071,-0.6992174571648971
0.4,3567.634406410437,3596.750958993572,3555.917451605543,3.761609478073722,3.544206738090524,3.8823793001732763,-0.5572366645412474,-0.3257137665779726,-0.6837212124067459
0.45,3648.8792360402495,3692.8133208353247,3630.3075054524197,3.780306414780557,3.5709485219665997,3.8975289283323398,-0.48566450900518005,-0.2555151037537895,-0.6117513612723287
0.5,3727.6364506453983,3786.0112004873513,3701.902199927876,3.79719791044914,3.5934091988234567,3.9116855061201123,-0.41970228991222147,-0.18892014348110447,-0.5462243525215813
0.55,3805.573870768864,3875.7384689622845,3773.2184135755197,3.8129570533008668,3.6129944399224616,3.9254155504474446,-0.35812233420430833,-0.12642243731842018,-0.4854137079174708
0.6,3875.5657909458023,3955.55651591038,3836.6972653069656,3.824738610453096,3.626636464565012,3.9358745490819125,-0.3004555126324522,-0.06686339132590924,-0.4291018069899532
0.65,3946.802912044511,4034.099830121083,3901.254395118736,3.8360342830656564,3.6387214295954013,3.9463864452326587,-0.24534778512381014,-0.010030071814193662,-0.3758646538064837
0.7,4018.3072922039123,4109.500791590015,3966.9868778081664,3.8466507049468905,3.649061233624664,3.956654717308341,-0.1925887114750313,0.04398450609596639,-0.3249222806091285
0.75,4089.3453505858392,4180.855240119595,4032.913870538309,3.8563587926408265,3.6580408632616486,3.9664092102352972,-0.14189101155371728,0.09487233952464971,-0.2760808267067336
0.8,4158.83984562584,4247.430936539541,4100.093268124079,3.8652441315293693,3.6657088069124395,3.9756171577324495,-0.09347400564340327,0.1426778926585667,-0.22856090305063817
0.85,4225.499279378993,4309.32252663866,4166.052569144719,3.8731410221493476,3.672361695817546,3.9840206628758517,-0.0474186227640347,0.18748462940770882,-0.18291143890132383
0.9,4286.486915154129,4366.818148928362,4231.330363879205,3.880200527800173,3.678019096096418,3.9916141386298487,-0.004760670646161077,0.2296752337693081,-0.13867258374682231
0.92,4313.688670916528,4388.500718704638,4256.970076666337,3.8827289810047474,3.6801273362385767,3.994331899881259,0.013245373172586821,0.24571657760844628,-0.12135037829521735
0.94,4338.023512677836,4409.8067249803025,4282.688298146551,3.885215638110351,3.681992862428348,3.996973164439078,0.029871154739954272,0.2616046015845622,-0.10418814186907312
0.96,4361.5047115265625,4430.607905637098,4307.817573117792,3.8876137299051727,3.683860408652561,3.999510382640208,0.04599421707049563,0.2770554828940991,-0.08741863634627224
0.98,4384.365823218082,4450.2342398161045,4332.755648435361,3.889750709004077,3.685597668436222,4.00178870236815,0.061893829058478275,0.2919512743675737,-0.07071454193730112
1.0,4406.981474357843,4469.786591702149,4357.530740667201,3.8918363756730416,3.6871481815419327,4.003907346081509,0.07751984878631031,0.3067903533615407,-0.05415421417758701
1.02,4428.766981276105,4488.874012241296,4381.8281258086545,3.8938874272299673,3.6887655197891007,4.006003393328796,0.09263538926154707,0.32117569638103916,-0.03799057595585096
1.04,4450.408677551041,4507.113226554897,4406.043590674118,3.8957691348470163,3.690252862622084,4.007912915646581,0.1076550994846867,0.3351657271201934,-0.02189312996451471
1.06,4471.103198703066,4524.967828747634,4429.680143450069,3.8974540183558646,3.691575344625258,4.009593031843979,0.12230194079513898,0.3489838783895766,-0.0060064086652706905
1.08,4491.674249134938,4542.555106841136,4453.217572681671,3.899110786757833,3.6928413081065212,4.011259117227927,0.1367372933006306,0.36257463784483224,0.00965157841052123
1.1,4511.635491365348,4559.156953637834,4476.719597525676,3.900563771418309,3.6939797263821634,4.012615273328079,0.15095624472857266,0.3757425029589191,0.025408264610853555
1.12,4531.389740788191,4575.726909731684,4499.5516712811905,3.902064890874086,3.695214916624586,4.013956974287787,0.16487011107145527,0.3886348614561105,0.04072930105284284
1.14,4550.741562674196,4591.857054369722,4522.15818863884,3.9033663344546823,3.6962338401425208,4.015158379126602,0.1786585159790282,0.40141581691417955,0.05592074965492304
1.16,4569.577927838376,4607.4088887640655,4544.462373028974,3.9045250237582385,3.697190474681038,4.01619936736223,0.19222862440641342,0.4138859020660372,0.07097994388286233
1.18,4588.032339434418,4622.714928990562,4566.7257061397,3.9056663027806606,3.698233592431922,4.017075946002826,0.20551289097368203,0.4260282267881891,0.08601704175772738
1.2,4606.426812588596,4637.666087829019,4588.660260161464,3.90667746631379,3.6990718215968075,4.017933235416623,0.2187517841806129,0.43809868957021714,0.10078289702283302
1.22,4624.249549411246,4654.9968196783275,4610.299206933117,3.9076332411981527,3.6999996501167844,4.018538017541812,0.2316829419014321,0.4508290934591275,0.1155295283059574
1.24,4641.816628509684,4668.558262249459,4632.088802225505,3.908466829442949,3.7008031579939358,4.0190944959318475,0.2444980744007369,0.4621410159572477,0.13022596148759488
1.26,4658.937085016161,4682.142782376733,4652.968420159002,3.9091624825650992,3.7014304834218765,4.019515267269552,0.25714674233965756,0.47351003029637456,0.1445669611604449
1.28,4676.089249338579,4693.5705875761705,4674.218751253834,3.909794183308463,3.7021886083961006,4.0197715312899005,0.26973824797165025,0.4838261291758662,0.159065832877601
1.3,4692.706882537076,4706.82208611572,4694.792151986238,3.9103881655515016,3.7027671876785155,4.019953791543449,0.2820401919797447,0.49487864672325305,0.17324629968746796
1.32,4709.257305686694,4719.603950542095,4715.495020320065,3.9108250021787043,3.70344170580136,4.019980951905865,0.29434990114700665,0.5055457991065164,0.18749339869791642
1.34,4725.510067686869,4732.343384031722,4736.317702315273,3.911258918353835,3.703956745864482,4.019904472651265,0.3064319406777049,0.51624440062764,0.20175488590817495
1.36,4741.487120200359,4744.4945363712095,4756.418545181571,3.9114920519359067,3.7045025009544403,4.019683689973381,0.31849644499111457,0.5265875573895142,0.21576672651923254
1.38,4757.114956643969,4756.533338551289,4776.7493793043495,3.9117860302751812,3.7049209400922356,4.019290105507947,0.3302589276597195,0.5369116715783331,0.22991005540813475
1.4,4772.65243232644,4768.480163138977,4796.82216131948,3.911830805588836,3.7054080951926145,4.018869519392843,0.34212774689689857,0.5470312052332102,0.24386423592622553
1.42,4787.972717776826,4779.9842643582615,4816.658816027212,3.911900787497657,3.705692521033304,4.018244465047098,0.35378550799260633,0.5570930330143445,0.257818664586005
1.44,4803.435990947804,4791.419694982795,4836.676610038439,3.911833089282232,3.7061148637621275,4.017553536407026,0.36552871513361423,0.566895823624837,0.27178840313656516
1.46,4818.5921349868195,4802.435312156293,4856.652244440054,3.9117972831655443,3.7063407547920773,4.016710190578555,0.37702752173848736,0.5766495349089337,0.2857819379844271
